ordinal	view	build	shoulderHip	waist	evidence
0	partial	2	?	?	Fitted black bodice and bare arms support build; structured bodice and flared hem obscure shape.
1	back	?	?	?	Rear garment view excluded.
2	partial	2	?	1	Buttoned torso has moderate taper; pleats conceal hips.
3	back	?	?	?	Rear garment view excluded.
4	detail	?	?	?	Head and shoulders absent; skirt product crop.
5	detail	?	?	?	Side lower-body product crop.
6	partial	1.5	?	?	Bare arms and narrow torso support build; gathered plaid dress obscures waist and hips.
7	back	?	?	?	Rear dress view excluded.
8	partial	1.5	?	1	Fitted buttoned top narrows moderately; flared skirt hides hip contour.
9	full	1.5	?	?	Side pose in black dress; frontal proportions unavailable.
10	detail	?	?	?	Shorts product crop without shoulders.
11	detail	?	?	?	Side lower-body crop excludes shoulders.
12	detail	?	?	?	Ruffled shorts detail crop.
13	detail	?	?	?	Lower-body garment crop.
14	partial	2	?	1	Bare upper arms and fitted halter torso; moderate taper, flared skirt hides hips.
15	back	?	?	?	Rear halter dress view excluded.
16	detail	?	?	?	Leggings product crop lacks upper torso.
17	back	?	?	?	Rear leggings detail.
18	partial	2	?	1	Fitted burgundy separates show waist indentation; shoulder tops cropped.
19	back	?	?	?	Rear pants detail.
20	full	2	0	?	Black fitted jumpsuit shows similar shoulder and hip span; structured bodice shapes waist.
21	detail	?	?	?	Side jumpsuit crop lacks shoulders.
22	partial	2	?	?	Arms and torso support build; stiff zip bodice and cropped hips prevent shape judgment.
23	back	?	?	?	Rear top view excluded.
24	partial	2.5	?	1	White top and fitted navy skirt show moderate waist indentation; draped jacket obscures shoulder boundary.
25	partial	2.5	?	1	Navy skirt contours hips; shoulder jacket prevents confident balance estimate.
26	full	2.5	?	?	Arms and upper torso support build; layered tulle skirt hides hips and waist contour.
27	full	2.5	?	?	Graphic top and layered skirt; stance and volume obscure shape axes.
28	full	3	?	1	Fitted leggings and tank show broad build and moderate waist; open shirt obscures shoulder edges.
29	full	2.5	0	1	Tank and leggings expose similar shoulder/hip span and moderate waist indentation.
30	partial	3	?	?	Black fitted top supports broad build; raised arms and lower crop obscure proportions.
31	detail	?	?	?	Fabric ruching comparison without person.
32	full	2.5	0	1	Fitted white cropped zip top and black pants show balanced shoulders/hips and moderate indentation.
33	back	?	?	?	Bent rear/side pose excluded.
34	full	2.5	0	1	White wrap top and black trousers; visible shoulder and upper hip spans similar, moderate waist taper.
35	full	2	0	1	Black fitted separates show intermediate build, similar shoulder/hip widths and moderate waist.
36	full	2	?	1	Fitted inner top and green pants show waist; long coat obscures shoulder/hip comparison.
