ordinal	view	build	shoulderHip	waist	evidence
0	partial	2	?	?	black tee arms cropped hips; shoulder/hip and waist contours not established in overview.
1	full	1.5	?	?	green tee navy shorts loose hem; shoulder/hip and waist contours not established in overview.
2	partial	1.5	?	?	blue leather jacket red trousers layers; shoulder/hip and waist contours not established in overview.
3	full	1.5	?	?	black tank jeans loose hem; shoulder/hip and waist contours not established in overview.
4	partial	?	?	?	dark work shirt cropped hips; shoulder/hip and waist contours not established in overview.
5	partial	1.5	?	?	denim jacket salmon shirt white trousers; shoulder/hip and waist contours not established in overview.
6	partial	1.5	?	?	floral shirt black trousers drape; shoulder/hip and waist contours not established in overview.
7	back	?	?	?	rear sweater; shoulder/hip and waist contours not established in overview.
8	full	?	?	?	long grey overcoat white trousers; shoulder/hip and waist contours not established in overview.
9	full	1.5	?	?	blue fitted jeans jacket heeled boots; shoulder/hip and waist contours not established in overview.
10	partial	?	?	?	long dark coat layered shirt; shoulder/hip and waist contours not established in overview.
11	full	2	?	?	print tee grey trousers drape; shoulder/hip and waist contours not established in overview.
12	seated	2	?	?	denim jacket jeans seated; shoulder/hip and waist contours not established in overview.
13	full	1.5	?	?	navy suit tie structured jacket; shoulder/hip and waist contours not established in overview.
14	seated	1.5	?	?	navy tee shorts seated; shoulder/hip and waist contours not established in overview.
15	back	?	?	?	rear denim jacket; shoulder/hip and waist contours not established in overview.
16	partial	1.5	?	?	white tee jeans bag occlusion; shoulder/hip and waist contours not established in overview.
17	full	1.5	?	?	navy blazer jeans walking; shoulder/hip and waist contours not established in overview.
18	seated	?	?	?	jacket trousers reclining; shoulder/hip and waist contours not established in overview.
19	seated	1.5	?	?	white tee black trousers seated; shoulder/hip and waist contours not established in overview.
20	full	?	?	?	olive loose utility set; shoulder/hip and waist contours not established in overview.
21	full	1.5	?	?	shirt tie tailored shorts drape; shoulder/hip and waist contours not established in overview.
22	seated	1.5	?	?	shirt shorts seated crossed legs; shoulder/hip and waist contours not established in overview.
23	full	1.5	?	?	dark blazer open shirt trousers; shoulder/hip and waist contours not established in overview.
24	full	1.5	?	?	black jacket tan trousers side pose; shoulder/hip and waist contours not established in overview.
25	full	1.5	?	?	suit pink shirt structured jacket; shoulder/hip and waist contours not established in overview.
26	partial	1.5	?	?	leather jacket black trousers; shoulder/hip and waist contours not established in overview.
27	full	1.5	?	?	dark jacket jeans bent pose; shoulder/hip and waist contours not established in overview.
28	full	1.5	?	?	grey longline top boots layered jacket; shoulder/hip and waist contours not established in overview.
29	full	1.5	?	?	angular jacket cropped trousers gold boots; shoulder/hip and waist contours not established in overview.
30	partial	2	?	?	black blazer print shirt; shoulder/hip and waist contours not established in overview.
31	full	1.5	0	?	Enlarged: similar shoulder and hip widths; loose tucked shirt conceals waist contour.
32	full	1.5	?	?	white long sleeve shorts loose set; shoulder/hip and waist contours not established in overview.
33	full	1.5	?	?	layered black shirt long white tee shorts; shoulder/hip and waist contours not established in overview.
34	partial	2	?	?	leather jacket jeans oblique pose; shoulder/hip and waist contours not established in overview.
35	partial	1.5	?	?	graphic tee dark trousers hand on hip; shoulder/hip and waist contours not established in overview.
36	full	1.5	?	?	long white tee dark jeans drape; shoulder/hip and waist contours not established in overview.
37	full	1.5	?	?	black tuxedo white trousers; shoulder/hip and waist contours not established in overview.
38	full	1.5	?	?	floral shirt blue trousers drape; shoulder/hip and waist contours not established in overview.
39	full	1.5	?	?	black knit trousers crossbody strap; shoulder/hip and waist contours not established in overview.
40	partial	2	?	?	grey suit tie cropped hips; shoulder/hip and waist contours not established in overview.
41	partial	2	?	?	silver blazer waistcoat black trousers; shoulder/hip and waist contours not established in overview.
42	partial	1.5	?	?	green oversized tee dark trousers; shoulder/hip and waist contours not established in overview.
43	partial	1.5	?	?	pink tank shorts loose waist; shoulder/hip and waist contours not established in overview.
44	partial	2	?	?	multicolor blazer black shirt bowtie; shoulder/hip and waist contours not established in overview.
45	partial	1.5	?	?	black oversized shirt shorts; shoulder/hip and waist contours not established in overview.
46	partial	2	?	?	sheer black knit patterned trousers; shoulder/hip and waist contours not established in overview.
47	full	2	?	?	grey suit pink tie; shoulder/hip and waist contours not established in overview.
48	full	1.5	?	?	black sport jacket blue tee shorts; shoulder/hip and waist contours not established in overview.
49	full	1.5	?	?	white tailored jacket trousers; shoulder/hip and waist contours not established in overview.
50	full	1.5	?	?	white polo navy shorts; shoulder/hip and waist contours not established in overview.
51	full	2	?	?	blazer graphic tee black trousers; shoulder/hip and waist contours not established in overview.
52	full	2.5	?	?	teal suit white shirt; shoulder/hip and waist contours not established in overview.
53	full	1.5	?	?	dark three piece suit; shoulder/hip and waist contours not established in overview.
54	full	2	?	?	black tuxedo; shoulder/hip and waist contours not established in overview.
55	full	2	?	?	dark blazer olive trousers; shoulder/hip and waist contours not established in overview.
56	full	2	?	?	white shirt black trousers; shoulder/hip and waist contours not established in overview.
57	full	1.5	?	?	navy blazer burgundy trousers; shoulder/hip and waist contours not established in overview.
58	detail	?	?	?	head and knit neckline crop; shoulder/hip and waist contours not established in overview.
59	full	1.5	?	?	oversized orange top shorts; shoulder/hip and waist contours not established in overview.
60	partial	?	?	?	black jacket white shirt cropped torso; shoulder/hip and waist contours not established in overview.
61	partial	1.5	?	?	navy crop beige skirt seated angle; shoulder/hip and waist contours not established in overview.
62	partial	1.5	?	?	pale blue tee extended arms; shoulder/hip and waist contours not established in overview.
63	detail	?	?	?	head and shoulders portrait; shoulder/hip and waist contours not established in overview.
64	partial	1.5	?	?	oversized grey shirt dress raised arm; shoulder/hip and waist contours not established in overview.
65	detail	?	?	?	head and upper chest crop; shoulder/hip and waist contours not established in overview.
66	seated	1.5	?	?	olive open shirt shorts seated; shoulder/hip and waist contours not established in overview.
67	partial	1.5	?	?	long white shirt bent leg; shoulder/hip and waist contours not established in overview.
68	partial	1.5	?	?	white tank green bottoms hip crop; shoulder/hip and waist contours not established in overview.
69	seated	?	?	?	white draped offshoulder top seated; shoulder/hip and waist contours not established in overview.
70	partial	1.5	?	?	oversized graphic tee cropped hips; shoulder/hip and waist contours not established in overview.
71	partial	1.5	?	?	tan jacket grey knit layered; shoulder/hip and waist contours not established in overview.
72	full	1.5	?	?	graphic sweater shorts high heels; shoulder/hip and waist contours not established in overview.
73	partial	1.5	?	?	pale belted dress flared skirt; shoulder/hip and waist contours not established in overview.
74	seated	1.5	?	?	graphic tee denim shorts seated; shoulder/hip and waist contours not established in overview.
75	full	1.5	?	?	blue jacket black leggings running pose; shoulder/hip and waist contours not established in overview.
76	seated	1.5	?	?	tee denim shorts reclining; shoulder/hip and waist contours not established in overview.
