ordinal	view	build	shoulderHip	waist	presentation	evidence
0	detail	?	?	?	U	Green graphic tee displayed without a person.
1	back	?	?	?	U	Green graphic tee and cap viewed from behind; front contours absent.
2	detail	?	?	?	U	Tan graphic tee displayed without a person.
3	back	?	?	?	U	Tan graphic tee and cap viewed from behind; front contours absent.
4	detail	?	?	?	U	Plaid long-sleeved shirt displayed without a person.
5	detail	?	?	?	U	Plaid shirt pocket and buttons close-up; no person.
6	detail	?	?	?	U	Pale striped short-sleeved shirt displayed without a person.
7	detail	?	?	?	U	Pale striped shirt buttons close-up; no outfit.
8	detail	?	?	?	U	Blue long-sleeved shirt displayed without a person.
9	detail	?	?	?	U	Blue shirt pocket close-up; no outfit.
10	detail	?	?	?	U	Peach plaid shirt displayed without a person.
11	detail	?	?	?	U	Peach plaid shirt with sunglasses close-up; no person.
12	detail	?	?	?	U	Mustard long-sleeved shirt displayed without a person.
13	detail	?	?	?	U	Mustard shirt pocket opening close-up; no outfit.
14	detail	?	?	?	U	Tan bird-print tee displayed without a person.
15	detail	?	?	?	U	Front of tan tee displayed without a person.
16	detail	?	?	?	U	White graphic tee displayed without a person.
17	detail	?	?	?	U	Front of white tee displayed without a person.
18	detail	?	?	?	U	Pale yellow printed shirt displayed without a person.
19	detail	?	?	?	U	Pale yellow shirt pocket close-up; no outfit.
20	detail	?	?	?	U	Multicolored striped shirt displayed without a person.
21	detail	?	?	?	U	Multicolored striped shirt pocket close-up; no person.
22	detail	?	?	?	U	Rust plaid shirt displayed without a person.
23	detail	?	?	?	U	Rust plaid shirt with sunglasses close-up; no person.
