ordinal	view	build	shoulderHip	waist	evidence
0	full	1.5	?	?	black lace top wide black trousers heels. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
1	full	?	?	?	lace slip dress layered over jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
2	full	1.5	?	?	grey fitted tee wide black trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
3	full	?	?	?	belted blue shirt wide black trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
4	full	?	?	?	cropped striped knit sport trousers boots. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
5	full	1.5	?	?	white gathered sleeveless blouse jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
6	full	1.5	?	?	white cardigan pale camisole wide jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
7	full	1.5	?	?	yellow ruffled peplum brown trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
8	full	?	?	?	black lace blouse grey trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
9	full	?	?	?	beige short sleeve blazer wide jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
10	full	?	?	?	cream sheer knit brown trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
11	full	1.5	?	?	black tee grey wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
12	full	1.5	?	?	white lace top blue jeans heels. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
13	full	1.5	?	?	sheer black top black shorts tan boots. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
14	full	1.5	?	?	white ruched sleeveless top white trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
15	full	1.5	?	?	sheer floral top brown wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
16	full	?	?	?	white textured mini dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
17	full	1.5	?	?	belted grey camisole mini layer white tee. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
18	full	1.5	?	?	lace peplum blouse white trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
19	full	?	?	?	grey camo top wide jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
20	full	1.5	?	?	cream puff sleeve knit brown dot skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
21	full	?	?	?	dark denim jacket flared jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
22	full	?	?	?	olive tunic dress black capri leggings. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
23	full	1.5	?	?	cream ruffled top white lace maxi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
24	full	1.5	?	?	white mesh lace layer blue jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
25	full	?	?	?	argyle vest cream wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
26	full	?	?	?	white ruffled blouse grey trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
27	full	?	?	?	black bustier white lace shirt black maxi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
28	full	1.5	?	?	black sleeveless top black wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
29	full	?	?	?	black babydoll layer white lace shirt jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
30	full	?	?	?	cream knit cream trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
31	full	1.5	?	?	black peplum blouse blue jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
32	full	?	?	?	white lace blouse white wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
33	full	?	?	?	long brown puff sleeve dress white collar. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
34	full	1.5	?	?	fitted raglan tee wide jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
35	full	1.5	?	?	fitted white tee striped wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
36	full	?	?	?	oversized white graphic tee white trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
37	full	?	?	?	purple shirt white sheer skirt over denim. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
38	full	1.5	?	?	brown top tiered cream maxi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
39	full	1.5	?	?	black cutout top grey trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
40	full	1.5	?	?	fitted pale tee flared jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
41	full	?	?	?	plaid buttondown grey trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
42	full	?	?	?	fitted knit vest check shirt wide check trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
43	full	1.5	?	?	sheer black top light jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
44	full	1.5	?	?	cream tunic lace trousers heels. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
45	full	?	?	?	long cream tiered dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
46	full	?	?	?	striped tee lace skirt over jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
47	full	?	?	?	grey tee long grey skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
48	full	1.5	?	1	white lace top black capri trousers. Enlarged original: close lace top supports moderate waist indentation; angled stance and hand obscure shoulder/hip comparison.
49	full	1.5	?	?	yellow print tee navy wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
50	full	1.5	?	?	white textured blouse black sheer midi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
51	full	1.5	?	?	asymmetric grey top burgundy trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
52	full	?	?	?	white loose top pale wide jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
53	full	?	?	?	floral open dress white tee olive trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
54	full	1.5	?	?	fitted black top wide grey trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
55	full	1.5	?	?	cream patterned blouse tan trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
56	full	1.5	?	?	grey sleeveless top black ruched maxi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
57	full	?	?	?	black tiered tulle dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
58	full	1.5	?	?	brown knit mini set white collar. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
59	full	?	?	?	grey sleeveless collared top grey trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
60	full	?	?	?	mint print tee lace shorts pink knee socks. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
61	full	?	?	?	cream shirt cream trousers navy knit shoulders. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
62	full	1.5	?	?	fitted white print tee white maxi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
63	full	?	?	?	white collared shirt green tailored trousers neck scarf. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
64	full	?	?	?	mint buttondown grey shorts. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
65	full	1.5	?	?	beige blazer draped top wide trousers heels. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
66	full	1.5	?	?	white ruffled collar blouse navy trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
67	full	1.5	?	?	sheer dot top ruffled black camisole black trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
68	full	1.5	?	?	white peplum camisole black flared jeans heels. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
69	full	1.5	?	?	striped fitted tank black trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
