ordinal	view	build	shoulderHip	waist	evidence
0	full	3	?	?	Printed collared shirt and matching shorts; loose torso and hips hide ratios.
1	detail	?	?	?	Close crop of printed shorts without torso.
2	detail	?	?	?	Short hem fabric crop.
3	detail	?	?	?	Waistband and shorts crop without shoulders.
4	seated	2.5	?	?	Printed open collar ensemble; folded arms and seated pose obscure proportions.
5	detail	?	?	?	Collar and chest closeup.
6	reject	?	?	?	Seated repeat of black printed ensemble; clearer standing view retained at 7.
7	partial	3	?	?	Black printed shirt and matching shorts; forward arms and drape obscure axes.
8	partial	3	?	?	Black tee and pale shorts in side angle; torso build visible, ratios obscured.
9	back	?	?	?	Rear view of black tee.
10	detail	?	?	?	White tee chest crop; fuller view at 11.
11	partial	3	?	?	White tee and dark bottoms; loose hem covers waist and hips.
12	partial	3	?	?	Striped polo with pale trousers; forward hands and fabric hide waist.
13	reject	?	?	?	Seated repeat of striped polo ensemble at 12.
14	reject	?	?	?	Seated repeat of blue hooded top; full standing outfit at 15.
15	full	3	?	?	Blue hooded top and pale shorts; pocket hands and loose hem obscure axes.
16	detail	?	?	?	Face and hood closeup.
17	reject	?	?	?	Near-repeated hoodie and pale shorts colorway of 15.
18	detail	?	?	?	Shorts and legs crop without torso.
19	detail	?	?	?	Short hem fabric closeup.
20	reject	?	?	?	Seated crop of navy polo ensemble; standing 21 retained.
21	partial	3	?	?	Navy polo and pale trousers; side angle and untucked hem obscure ratios.
22	detail	?	?	?	Gray shirt chest crop; fuller view at 23.
23	partial	3	?	?	Gray button shirt and cream trousers; broad torso visible, hip boundary concealed.
24	reject	?	?	?	Leaning repeat of brown knit set; standing 27 retained.
25	partial	3	?	?	Brown tee paired with black bottoms; hands and loose hem hide waist.
26	detail	?	?	?	Brown shorts and legs closeup.
27	full	3	?	?	Brown tee and matching shorts; loose hip and waist contours.
28	detail	?	?	?	Tank neckline and cap crop.
29	partial	3	?	?	Pale tank and dark shorts; profile view cannot support frontal ratios.
30	partial	2.5	?	?	Boxy green collared shirt and black trousers; waist hidden by shirt.
31	reject	?	?	?	Near-repeat pose of green shirt at 30.
32	full	1.5	?	?	Blue utility jumpsuit over white tee; raised arm and structured waist obscure anatomy.
33	reject	?	?	?	Cropped repeat of utility jumpsuit at 32.
34	partial	1.5	?	?	Blue checked collared shirt and jeans; angled shoulder and loose shirt obscure axes.
35	reject	?	?	?	Side repeat of checked shirt at 34.
36	partial	2.5	?	?	Teal sleeveless top and cream trousers; raised arm and loose hem hide ratios.
37	reject	?	?	?	Angled repeat of teal top at 36.
38	partial	1.5	?	?	Purple sleeveless top and jeans; hem drapes over waist, hip width cropped.
39	reject	?	?	?	Profile repeat of purple top at 38.
40	seated	1.5	?	?	Cream waistcoat over tee and matching trousers; seated spread stance obscures proportions.
41	partial	1.5	?	?	Floral collared shirt over purple high neck; loose hem hides waist.
42	reject	?	?	?	Side repeat of floral shirt at 41.
43	partial	1.5	?	?	Leopard open shirt over white tee and black trousers; layers hide contours.
44	back	?	?	?	Rear view of leopard shirt.
45	partial	1.5	?	?	Red waistcoat and trousers over pale polo; tailoring and hand obscure waist.
46	detail	?	?	?	Waistcoat lining closeup.
47	reject	?	?	?	Cropped floral suit repeat; full standing 52 retained.
48	detail	?	?	?	Floral blazer lining and pocket closeup.
49	reject	?	?	?	Cropped blazer ensemble; full standing 50 retained.
50	full	1.5	?	?	Patterned blazer over waistcoat and shirt with jeans; tailoring hides body axes.
51	detail	?	?	?	Floral trousers crop without shoulders.
