ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Leather trousers shown without shoulders.
1	detail	?	?	?	Second leather-trouser crop without upper body.
2	detail	?	?	?	Lace shorts crop omits upper torso.
3	detail	?	?	?	Side lace shorts crop without shoulders.
4	detail	?	?	?	Leopard trousers shown below waist.
5	back	?	?	?	Rear leopard-trouser crop.
6	detail	?	?	?	Ruffled shorts and legs without upper torso.
7	detail	?	?	?	Closer ruffled-shorts detail.
8	full	1	?	?	Narrow bare arms and legs support build; held flared lace garment hides waist and hips.
9	reject	?	?	?	Repeated lace outfit with hands lifted to shoulders.
10	detail	?	?	?	Lace underwear close-up without torso.
11	detail	?	?	?	Angled underwear view cuts off shoulders.
12	detail	?	?	?	Lace underwear product close-up.
13	detail	?	?	?	Lower-body underwear view without shoulders.
14	full	1.5	?	?	Narrow arms and legs support build; laced structured bodice and gathered skirt conceal natural shape.
15	back	?	?	?	Rear laced-dress view.
16	detail	?	?	?	Buckled trousers crop without upper torso.
17	detail	?	?	?	Side buckled-trouser crop.
18	reject	?	?	?	Text-only dress-size selection graphic.
19	reject	?	?	?	Text-only top-size selection graphic.
20	full	1.5	?	?	Narrow arms and legs support build; high structured collar and stiff vest obscure natural shape.
21	partial	3	?	?	Broad bare arms support build; raised arm and stiff high-collar vest obscure proportions.
22	full	3	0	?	Bare arms and close lower dress show broad build and similar shoulder and hip span; stiff vinyl bodice limits waist judgment.
23	back	?	?	?	Rear three-quarter vinyl-dress view.
24	partial	?	?	?	Loose white blouse covers arms and torso; body outline is insufficiently visible.
25	reject	?	?	?	Angled repeat of loose white blouse.
26	partial	1.5	?	?	Close sleeves and narrow frame support build; ruched blouse and flared skirt obscure natural contours.
27	reject	?	?	?	Side repeat of ruched black blouse.
28	partial	3	?	?	Bare upper arms support broad build; structured vest and pleated skirt conceal natural proportions.
29	back	?	?	?	Rear black vest view.
30	reject	?	?	?	Tight corset crop repeats fuller garment view 31.
31	full	1.5	?	?	Bare arms support narrow build; tilted torso and crossed legs limit shoulder-hip comparison and corset conceals waist.
32	partial	2.5	?	?	Bare arms support build; crop omits full hip contour and stiff shaped leather bodice obscures waist.
33	reject	?	?	?	Repeated leather-bodice outfit with zipper open.
34	full	2	?	?	Bare arms support build; crossed-leg and tilted-hip pose prevent balance assessment and laced bodice conceals waist.
35	detail	?	?	?	Laced-trouser detail without upper torso.
36	detail	?	?	?	Ruffled-skirt crop omits shoulders.
37	detail	?	?	?	Closer ruffled-skirt detail without upper torso.
38	partial	?	?	?	Loose sweatshirt and wide trousers hide body contours.
39	full	3	?	1	Bare upper arms and close tank show broad build and moderate taper; loose trousers conceal hip edges.
40	detail	?	?	?	Cropped capri-trouser outfit omits shoulders.
