ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Seated crop of grey polo ensemble; retain fuller standing view at 1.
1	full	2	?	?	Grey fitted collared polo and matching trousers with sandals. Enlarged original supports medium apparent build; leaning crossed-leg pose and untucked hem obscure hip balance and waist indentation.
2	reject	?	?	?	Gunmetal colorway of grey polo ensemble at 1, repeated seated composition.
3	reject	?	?	?	Gunmetal colorway of grey polo ensemble at 1, repeated standing pose.
4	partial	2	1	?	Black fitted open-collar shirt and tailored shorts. Enlarged original shows shoulders wider than visible hips; crossed forearms conceal waist indentation. Feet cropped.
5	back	?	?	?	Rear view of black shorts ensemble with shoulders cropped.
6	partial	2	?	?	Grey knitted collared polo and pale trousers. Enlarged original supports medium apparent build; crossed forearms, long knit hem and angled hips obscure remaining axes.
7	partial	2	1	1	Olive fitted zip-collar polo with grey trousers. Enlarged original shows wider shoulders than hips and moderate waist taper through fitted shirt; hands rest below waist and lower hip outline remains visible. Legs cropped.
8	partial	2	?	?	Black contrast-trim collared polo, belt and dark trousers. Enlarged original supports medium apparent build; oblique view and arms obscure reliable shoulder-to-hip and natural waist assessment.
9	reject	?	?	?	Tight neckline crop of black polo retained at 8.
10	reject	?	?	?	Side-lunge green activewear ensemble; retain clearer front alternate 0 instead.
11	reject	?	?	?	Torso-less trouser crop of green ensemble retained in alternates at 0.
12	partial	1.5	?	?	Red cutout crop top and shrug with tiered skort; smaller apparent build visible. Flared skirt conceals hip contour and angled stance limits waist assessment.
13	back	?	?	?	Rear red shrug and skort ensemble.
14	reject	?	?	?	Pink hoodie torso crop; retain seated outfit at 15.
15	seated	?	?	?	Pale pink oversized hoodie, shorts and socks in seated floor pose. Loose upper layers and bent legs prevent reliable body-axis observations.
16	partial	1.5	?	?	Floral cropped halter, pale shrug and flared skort; smaller apparent build visible. Twisted pose and flared skirt conceal remaining axes.
17	detail	?	?	?	Skort pocket and liner close-up without torso.
18	reject	?	?	?	Ivory colorway of cutout shrug and tiered skort ensemble retained at 12; repeated ensemble.
19	full	2	?	?	Pale halter top and tiered skort with trainers. Medium apparent build; held-out flared skirt conceals hips and natural waist comparison.
20	partial	1.5	?	?	Green sleeveless flared mini dress; smaller apparent build. Pulled-out skirt and turned torso obscure remaining axes.
21	back	?	?	?	Rear green dress view.
22	full	1.5	?	?	Green cutout crop top with matching flared leggings and trainers. Enlarged original supports smaller apparent build. Raised arm and hip-shift pose distort shoulder balance and waist symmetry; high shaped waistband further limits waist assessment.
23	detail	?	?	?	Rear waistband and hip detail without upper torso.
24	reject	?	?	?	Side trouser-only view of ensemble retained at 0.
25	detail	?	?	?	Waistband and pocket close-up without upper torso.
26	detail	?	?	?	Flat shorts product without wearer.
27	detail	?	?	?	Waist and shorts crop omits upper outfit.
28	detail	?	?	?	Flat shorts product without wearer.
29	detail	?	?	?	Waist and shorts crop omits upper outfit.
30	detail	?	?	?	Flat shorts product without wearer.
31	detail	?	?	?	Waist and shorts crop omits upper outfit.
32	detail	?	?	?	Flat shorts product without wearer.
33	detail	?	?	?	Waist and shorts crop omits upper outfit.
34	reject	?	?	?	Lower crop repeats the more complete green ensemble at 9.
35	full	2.5	0	1	Enlarged front green fitted activewear supports approximate build, similar shoulder and hip breadth and moderate waist indentation; arms remain separate from torso.
36	reject	?	?	?	High-neck crop and leggings repeat admitted Girlfriend activewear silhouette with a color change.
37	reject	?	?	?	Alternate bent-leg pose of 10.
38	reject	?	?	?	Dark crop and leggings repeat admitted activewear ensembles.
39	detail	?	?	?	Waistband stretch detail without upper outfit.
40	full	2.5	?	?	White fitted crop with running shorts; broader visible torso supports build, loose shorts and shifted stance obscure other axes.
41	reject	?	?	?	Cropped alternate pose of 14.
42	reject	?	?	?	Repeated white crop and brown running shorts ensemble.
43	back	?	?	?	Rear running-shorts view.
44	reject	?	?	?	Running-shorts colorway repeats 14 without new supported contour evidence.
45	reject	?	?	?	Cropped alternate pose of 18.
46	detail	?	?	?	Shorts-only crop omits shoulders and upper torso.
47	back	?	?	?	Rear cropped running-shorts view.
48	reject	?	?	?	White crop and brown shorts repeat the retained running ensemble.
49	reject	?	?	?	Arms-raised alternate pose of 22.
50	reject	?	?	?	Cropped running ensemble repeated at 14.
51	reject	?	?	?	Bent alternate of the retained running ensemble.
52	detail	?	?	?	Leggings crop lacks upper torso.
53	detail	?	?	?	Side leggings crop lacks upper torso.
54	detail	?	?	?	Leggings crop lacks upper torso.
55	reject	?	?	?	Side-stride crop-and-leggings colorway repeats admitted activewear and obscures frontal contours.
56	detail	?	?	?	Drawstring leggings crop lacks upper torso.
57	detail	?	?	?	Side leggings crop lacks upper torso.
58	detail	?	?	?	Drawstring leggings crop lacks upper torso.
59	detail	?	?	?	Side leggings crop lacks upper torso.
60	detail	?	?	?	Drawstring leggings crop lacks upper torso.
61	detail	?	?	?	Side leggings crop lacks upper torso.
62	detail	?	?	?	Drawstring leggings crop lacks upper torso.
63	detail	?	?	?	Side leggings crop lacks upper torso.
64	detail	?	?	?	Leggings crop lacks shoulders and most upper torso.
65	detail	?	?	?	Side leggings crop lacks shoulders.
66	full	1.5	?	?	Sheer floral fitted top with balloon trousers; upper contour supports smaller build, trousers and pocketed hands obscure hips and waist.
67	reject	?	?	?	Alternate pose of 40.
68	reject	?	?	?	Floral top and balloon-trouser colorway repeats 40.
69	reject	?	?	?	Alternate pose of 42.
70	full	1.5	?	?	Pink fitted long sleeve beneath floral overalls; upper frame supports build, bib and loose trousers obscure remaining axes.
71	reject	?	?	?	Side alternate of 44.
72	full	1.5	?	?	Striped collared top beneath denim pinafore and tights; upper frame supports build, straight dress conceals waist and hips.
73	reject	?	?	?	Side alternate of 46.
74	full	1.5	?	?	Striped high-neck top and burgundy loose trousers; upper frame supports smaller build, hip contour obscured.
75	detail	?	?	?	Flat trouser product.
76	full	1.5	?	?	Striped collared knit and striped wide trousers; raised arm and angled stance prevent axis labels.
77	detail	?	?	?	Trouser pocket close-up.
78	reject	?	?	?	Fitted top and printed loose-trouser variation repeats prior Lucy and Yak comparison 54.
79	reject	?	?	?	Side alternate of 52.
80	full	2	?	?	Cream fitted crop with black balloon cargo trousers; visible torso supports build, raised arm and loose hips prevent axes.
81	detail	?	?	?	Waistband and pocket detail.
82	detail	?	?	?	Flat wide-leg denim product.
83	detail	?	?	?	Denim waistband detail.
84	reject	?	?	?	Purple matching ensemble already admitted, comparison 13.
85	reject	?	?	?	Same purple matching ensemble already admitted, comparison 13.
86	detail	?	?	?	Flat printed skirt product.
87	detail	?	?	?	Printed fabric and waistband detail.
88	detail	?	?	?	Flat checked overalls product.
89	detail	?	?	?	Checked bib detail.
90	seated	?	?	?	Red sleeves and printed overalls seated across hay bale; fabric and pose conceal body contours.
91	detail	?	?	?	Printed bib close-up.
92	partial	2	?	?	Striped scoop-neck fitted top with blue trousers; upper torso supports build, hands behind and loose trousers obscure axes.
93	back	?	?	?	Rear striped-top view.
94	detail	?	?	?	Graphic tee chest detail.
95	partial	?	?	?	Cream graphic long-sleeve tee with denim; loose torso fabric prevents build and proportion labels.
96	back	?	?	?	Rear graphic tee view.
97	partial	?	?	?	Blue cropped graphic tee with olive trousers; loose fabric obscures contours.
98	partial	1.5	?	?	Enlarged black mock-neck top and purple jeans; smaller visible frame, hip shift and sweater drape prevent reliable axes.
99	back	?	?	?	Rear black-top view.
100	partial	?	?	?	Patterned fleece with scarf and checked skirt outdoors; outstretched arm and layers conceal body.
101	full	?	?	?	Patterned fleece and olive balloon trousers; bulky loose silhouette leaves all body axes unknown.
102	full	?	?	?	Dark fleece with mini skirt and spotted tights; thick jacket conceals torso contours.
103	detail	?	?	?	Fleece collar and face crop.
104	full	?	?	?	Purple checked fleece and black cropped trousers; padded upper layer conceals build and proportions.
105	reject	?	?	?	Cropped alternate of 78.
106	reject	?	?	?	Alternate stance of clearer dress view at 1.
107	full	1.5	?	?	Striped shirt dress with tall boots; upper frame supports build, tied waist and skirt obscure anatomical axes.
108	partial	1.5	?	?	Floral collared midi dress with carried denim jacket; upper frame supports build, tie and flared skirt obscure axes.
109	reject	?	?	?	Alternate pose of 2.
110	reject	?	?	?	Olive shirt-dress colorway repeats retained dress at 1.
111	reject	?	?	?	Alternate pose of 4.
112	reject	?	?	?	Cropped alternate of fuller view 7.
113	full	1.5	?	?	Printed short shirt dress with open-toe heels; upper frame supports build, belt and flared skirt conceal waist and hips.
114	reject	?	?	?	Printed collared midi dress repeats floral dress silhouette at 2.
115	reject	?	?	?	Alternate view of 8.
116	reject	?	?	?	Cropped alternate of 11.
117	full	1.5	?	?	Untied black shirt dress and pointed heels; upper frame supports build, dress still obscures hip and waist contours.
118	reject	?	?	?	Cropped alternate of 13.
119	partial	1.5	?	?	Printed loose cropped blouse with cream trousers; limited upper frame supports build, blouse hides waist.
120	reject	?	?	?	Pale shirt and navy trousers repeat prior Untuckit comparison 49 with minor print change.
121	detail	?	?	?	Collar and textile detail.
122	reject	?	?	?	Pink shirt and tan trousers repeat prior Untuckit comparison 50 as a colorway.
123	reject	?	?	?	Cropped alternate of 16.
124	reject	?	?	?	Pink checked shirt and tan trousers repeat the existing collared ensemble.
125	detail	?	?	?	Checked collar detail.
126	reject	?	?	?	Green shirt and denim repeats existing untucked-shirt styling.
127	detail	?	?	?	Green collar detail.
128	reject	?	?	?	Burgundy untucked shirt and dark trousers repeat existing collared styling.
129	reject	?	?	?	Cropped alternate of 22.
130	reject	?	?	?	Blue shirt colorway repeats previous collared ensemble.
131	detail	?	?	?	Blue collar detail.
132	reject	?	?	?	Small-print navy shirt and tan trousers repeat prior ensemble with print change.
133	detail	?	?	?	Printed collar detail.
134	reject	?	?	?	Purple checked shirt and trousers repeat prior collared styling.
135	detail	?	?	?	Purple checked collar detail.
136	partial	2	?	?	Quilted vest over checked shirt and jeans; upper frame supports approximate build, layering prevents waist and hip assessment.
137	detail	?	?	?	Vest collar and zipper detail.
138	reject	?	?	?	Black vest and grey shirt vary colors of retained layered ensemble 30.
139	detail	?	?	?	Black vest zipper detail.
140	partial	?	?	?	Pale quilted overshirt over checked shirt and dark trousers; padded layers obscure contours.
141	detail	?	?	?	Quilted overshirt collar detail.
