ordinal	build	shoulderHip	waist	evidence
31	1.5	0	?	Enlarged: similar shoulder and hip widths; loose tucked shirt conceals waist contour.
159	1.5	?	1	Enlarged: visible moderate waist indentation; turned torso and raised leg prevent shoulder comparison.
224	1.5	0	0	Enlarged: close-fitting panel dress shows similar shoulder and hip widths and relatively straight waist contour.
250	1.5	0	1	Enlarged: fitted navy dress shows similar shoulder and hip widths with moderate waist indentation.
308	1.5	0	1	Enlarged: fitted tank and shorts show similar shoulder and hip widths with moderate indentation.
422	2	0	1	Enlarged: fitted yellow gown shows similar shoulder and hip widths with moderate indentation; not inferred from belt alone.
446	1.5	0	?	Enlarged: similar shoulder and hip widths; layered loose top hides waist.
457	1.5	0	?	Enlarged: similar shoulder and hip widths; boxy crop hides waist contour.
466	1.5	0	1	Enlarged: fitted red dress supports similar widths and moderate indentation.
557	1.5	?	1	Enlarged: fitted top supports moderate indentation; turned posture and sleeve ruffles obscure shoulder comparison.
582	2	?	?	Enlarged: turned torso and crossed arm obscure shoulder and waist comparisons.
679	1.5	?	1	Enlarged: fitted rib dress shows moderate indentation; raised arm and turned pose obscure shoulder comparison.
719	1.5	0	1	Enlarged: fitted pink dress shows similar shoulder and hip widths and moderate indentation.
825	1.5	0	1	Enlarged: fitted tee and pencil skirt show similar widths and moderate indentation.
861	1.5	0	1	Enlarged: close-fitting black dress shows similar shoulder and hip widths and moderate indentation.
873	1.5	0	?	Enlarged: similar shoulder and hip widths; gathered wrap and high belt make waist contour uncertain.
948	1.5	?	1	Enlarged: exposed waist and fitted skirt support moderate indentation; loose offshoulder cardigan obscures shoulder boundary.
957	1.5	0	1	Enlarged: fitted sleeveless top and pencil skirt support similar widths and moderate indentation.
1003	1.5	0	1	Enlarged: fitted red mini supports similar widths and moderate indentation.
1018	2	0	1	Enlarged: fitted strapless top and jeans show similar shoulder and hip widths and moderate indentation.
1026	2	?	?	Enlarged: peplum and turned torso prevent reliable shoulder and waist comparisons.
1027	2.5	?	?	Enlarged: angled torso and loose dark maxi obscure hip and waist boundaries.
1028	2	?	?	Enlarged: loose tee and wide trousers obscure waist and hip contours.
1127	2	0	?	Enlarged: similar shoulder and hip widths; structured strapless bodice prevents waist judgment.
1181	2.5	?	?	Enlarged: loose high-waisted leather culottes obscure hip boundary and waist comparison.
1184	1.5	0	1	Enlarged: fitted lace jumpsuit shows similar shoulder and hip widths and moderate indentation.
1221	2.5	?	?	Enlarged: loose top and skirt conceal torso contours; corrected garment description is separates.
1222	2.5	?	?	Enlarged: jacket and angled posture obscure reliable waist and shoulder comparisons.
1252	2	0	1	Enlarged: black fitted jumpsuit shows similar widths and moderate indentation; corrected garment description.
1270	2	0	1	Enlarged: fitted burgundy dress shows similar shoulder and hip widths and moderate indentation.
1406	2	0	1	Enlarged: close-fitting yellow dress supports similar widths and moderate indentation despite lower arm overlap.
1440	2.5	?	?	Enlarged: flowing skirt hides hips; belt is not body contour evidence.
1442	2	0	1	Enlarged: close-fitting black dress supports similar widths and moderate indentation.
1492	1.5	0	1	Enlarged: fitted floral dress shows similar widths and moderate indentation.
1501	1.5	0	1	Enlarged: fitted green floral dress shows similar widths and moderate indentation.
1524	1.5	0	1	Enlarged: exposed torso and fitted trousers show similar shoulder and hip widths and moderate indentation.
1576	1.5	?	?	Enlarged: extended cap sleeves and hands in pockets alter visible shoulder and hip outlines.
1590	3	?	?	Enlarged: loose patterned dress conceals waist and hip boundaries.
1591	2.5	?	?	Enlarged: angled posture and draped gown obscure reliable torso-width comparisons.
1616	1.5	?	?	Enlarged: peplum and structured sleeves prevent reliable contour comparisons.
1620	1.5	0	1	Enlarged: fitted black dress shows similar shoulder and hip widths and moderate indentation.
1622	1.5	?	1	Enlarged: fitted torso shows moderate indentation; turned posture prevents shoulder comparison.
