ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Flat black bomber jacket; no wearer.
1	detail	?	?	?	Black jacket collar product detail; no wearer.
2	reject	?	?	?	Flat brown bomber jacket; no wearer.
3	detail	?	?	?	Brown jacket collar product detail; no wearer.
4	reject	?	?	?	Flat navy trousers; no wearer.
5	detail	?	?	?	Worn navy trouser crop omits shoulders and upper outfit.
6	reject	?	?	?	Flat tan trousers; no wearer.
7	detail	?	?	?	Worn tan trouser detail omits upper outfit.
8	reject	?	?	?	Flat fine-check collared jacket; no wearer.
9	full	?	?	?	Fine-check utility jacket, tan wide trousers and black boots; enlarged original confirms loose layers conceal build and contour axes.
10	reject	?	?	?	Flat large-check collared jacket; no wearer.
11	full	?	?	?	Large-check utility jacket, brown corduroy trousers and orange sneakers; enlarged original shows walking stance and loose layers prevent reliable body observations.
12	reject	?	?	?	Seated repeat of printed shirt and black wide trousers; retain standing ordinal 13.
13	full	1.5	?	?	Slender exposed limbs in printed collared shirt and black wide trousers; open shirt and trouser drape conceal waist and hips.
14	reject	?	?	?	Cropped animal-print shirt and black trousers repeat the collared print-shirt ensemble; retain wider ordinal 13.
15	reject	?	?	?	Alternate closure and pose of ordinal 14; repetitive ensemble.
16	reject	?	?	?	Another animal-print shirt variant with black trousers; repetitive ensemble relative to 13 and 14.
17	detail	?	?	?	Head and shirt close-up; incomplete outfit.
18	full	1.5	?	?	Slender exposed arms and midriff with fitted black crop, spotted wide trousers and heeled sandals; enlarged original shows hands and gathered fabric obscure hip comparison.
19	detail	?	?	?	Spotted trouser crop; same outfit as ordinal 18 with upper body omitted.
20	reject	?	?	?	Animal-print trouser variant of black cropped-top ensemble; retain ordinal 18 rather than repeating the outfit silhouette.
21	reject	?	?	?	Alternate pose of ordinal 20; repetitive ensemble.
22	full	3	?	?	Fuller exposed arms and torso in fitted red tank, leopard wide trousers and heels; enlarged original shows asymmetric hip stance and gathered pants obscure neutral waist and hip comparison.
23	detail	?	?	?	Leopard trouser crop from ordinal 22; upper outfit omitted.
