ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Pale fitted shirt and dark trousers repeat previously admitted collared-shirt colorways; exclude crop.
1	reject	?	?	?	Blue shirt tie and navy trousers repeat existing shirt-tie tailoring variants.
2	reject	?	?	?	Dark fitted collared shirt crop repeats existing dark-shirt tailoring variants.
3	reject	?	?	?	Full dark shirt and black trousers repeat the same tailoring silhouette already represented.
4	reject	?	?	?	Blue collared shirt and orange belt repeat prior blue-shirt belted-trouser ensemble.
5	reject	?	?	?	Full alternate pose of repetitive blue-shirt orange-belt ensemble.
6	reject	?	?	?	Checked fitted shirt with navy trousers repeats prior checked shirt colorways.
7	reject	?	?	?	Alternate full pose of repetitive checked-shirt ensemble.
8	reject	?	?	?	Grid shirt crop repeats prior fine-check fitted shirt tailoring.
9	reject	?	?	?	Full grid-shirt view repeats prior fine-check shirt and navy-trouser outfit.
10	detail	?	?	?	Polka-dot blouse upper crop omits lower ensemble; fuller seated outfit retained at 11.
11	seated	?	?	?	Orange dotted blouse under black fitted skirt-led ensemble with sheer tights and heeled boots; seated angled pose obscures comparable body axes.
12	reject	?	?	?	Burgundy knit and peach tulle skirt are redundant tulle-variant styling; retain distinct cloud ensemble at 13.
13	seated	2.5	?	?	Cloud-print fitted sweater with peach tiered tulle skirt and patterned tights; enlarged view shows seated window perch and moderately fuller torso; tulle hides hips and seated compression obscures waist.
14	full	?	?	?	Black loose sweatshirt with pink tiered tulle skirt and white western boots; distinct skirt-led casual ensemble; loose upper layer and tulle prevent reliable body axes.
15	reject	?	?	?	Red knit and pink tulle repeat the knit-and-tulle styling variant at 12; excluded rather than count skirt recolor.
16	full	3	?	?	Cream fitted top pink gathered skirt striped shoulder layer and cream flats; fuller torso and arms visible on enlargement; raised arm and gathered skirt obscure shoulder-hip comparison and waist.
17	detail	?	?	?	Waist-to-skirt crop with lemon bag omits shoulders and full ensemble.
18	reject	?	?	?	Pink fitted-bodice tiered tulle dress repeats prior lavender tiered-dress colorway.
19	reject	?	?	?	Second pink tiered-dress view repeats the same garment colorway and prior lavender style.
20	reject	?	?	?	Red bodice and pink skirt dress repeats existing fitted-top gathered-skirt dress colorways.
21	detail	?	?	?	Close crop of red bodice and pink skirt belt; no full outfit or comparable contour.
