ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat red checked shirt without wearer.
1	detail	?	?	?	Red checked textile close-up.
2	detail	?	?	?	Flat pale checked shirt without wearer.
3	detail	?	?	?	Printed cuff and button detail without wearer.
4	detail	?	?	?	Flat green checked shirt without wearer.
5	detail	?	?	?	Green checked textile close-up.
6	detail	?	?	?	Flat navy and rust checked shirt without wearer.
7	detail	?	?	?	Navy and rust textile close-up.
8	detail	?	?	?	Flat dark blue checked shirt without wearer.
9	detail	?	?	?	Blue textile close-up.
10	detail	?	?	?	Flat brown checked shirt without wearer.
11	detail	?	?	?	Brown checked textile close-up.
12	full	2	?	?	Front patterned wide-leg jumpsuit with lace bodice and heeled sandals; enlarged original supports approximate build, but flared legs hide hip contour and structured crossed waist bands obscure natural indentation.
13	reject	?	?	?	Closer crop of the same light-blue jumpsuit ensemble as 12.
14	reject	?	?	?	Royal-blue colorway of the jumpsuit retained at 12; repeated ensemble.
15	reject	?	?	?	Closer crop of repeated royal-blue jumpsuit colorway.
16	full	1.5	?	?	Front pink floral tiered maxi dress with tie cutouts and heeled sandals; enlarged original supports approximate build; gathered skirt hides hips and tied bands confound natural waist.
17	reject	?	?	?	Closer crop of pink dress ensemble retained at 16.
18	reject	?	?	?	Blue colorway of dress retained at 16; repeated ensemble.
19	reject	?	?	?	Closer crop of repeated blue dress colorway.
20	full	1.5	?	?	Front blue patterned tiered maxi dress with lace triangular bodice and heeled sandals; distinct skirt construction from jumpsuit 12. Enlarged original supports approximate build; flared skirt and inset waist obscure remaining axes.
21	reject	?	?	?	Angled closer view of blue maxi dress retained at 20.
22	reject	?	?	?	Light-blue colorway of maxi dress retained at 20; repeated ensemble.
23	reject	?	?	?	Closer angled crop of repeated light-blue maxi dress.
