ordinal	build	shoulderHip	waist	styles	silhouette	palette	evidence
1	1	0	1	maximalist,punk	mixed	multicolor	Exposed legs and close shorts; patterned oversized sleeves.
2	1	?	?	dark-casual	loose	dark	Exposed limbs suggest narrow build; shirt hides trunk.
3	1.5	?	?	punk,sport	mixed	dark	Slim legs visible; oversized top hides local proportions.
4	3	?	1	everyday,sport	mixed	colorful	Close tank shows waist indentation; turned hips.
5	3	?	1	everyday,sport	mixed	colorful	Close tank and exposed legs; turned stance limits widths.
6	3	0	0	workwear	loose	colorful	Broad torso with relatively straight outline in coverall.
7	1.5	0	?	workwear	loose	muted	Arms and upper hips visible; bib obscures waist.
8	1.5	0	1	everyday	mixed	muted	Close crop top and upper trouser contour.
9	3	0	1	everyday	mixed	muted	Close tank and visible upper hip outline.
10	1.5	?	1	everyday	mixed	muted	Waist visible; raised arms change shoulder comparison.
11	1.5	?	1	everyday	mixed	muted	Side view supports build and waist, not width balance.
12	1.5	?	1	everyday,sport	mixed	multicolor	Close tank; turned hips and bent leg.
13	3	0	1	everyday	mixed	multicolor	Tank defines torso; shoulder and upper hip breadth comparable.
14	1.5	0	1	everyday	mixed	neutral	Close tee and upper hip contour; wide lower trousers.
15	3	0	1	everyday	mixed	neutral	Close tee exposes broad torso and moderate waist indentation.
16	3	0	1	everyday	mixed	colorful	Close tee and upper trousers provide visible comparison.
17	3	0	1	everyday,sport	mixed	colorful	Tee follows torso above shorts; moderate indentation.
18	1.5	0	1	everyday	mixed	neutral	Close cutout top, visible waist and upper hip outline.
19	2	1	0	everyday	mixed	neutral	Close tank shows broader shoulders and straight waist.
20	1.5	0	1	everyday	mixed	muted	Tank and jeans follow torso and hip boundaries.
21	3	?	1	everyday	fitted	muted	Side view shows build and waist; frontal balance unavailable.
22	2.5	?	?	everyday	mixed	muted	Distant stair pose; local proportions unresolved.
23	2.5	1	0	everyday,tailored	mixed	dark	Broad upper torso above narrow trousers; scarf obscures center.
24	3	1	0	preppy,everyday	mixed	muted	Cardigan follows broad upper torso with little indentation.
25	3	0	0	everyday	mixed	neutral	Broad torso and hips; patterned shirt follows straight outline.
26	3	?	?	everyday	mixed	colorful	Wide upper torso visible; distant angled image limits local labels.
27	3	?	?	tailored,everyday	layered	muted	Coat hides waist and hip boundaries.
28	3	0	0	everyday	layered	colorful	Open overshirt; broad straight torso and visible shorts.
29	1	0	1	goth	fitted	dark	Close crop top and trousers reveal narrow torso outline.
30	1.5	?	?	goth	layered	dark	Long coat conceals lateral waist and hips.
31	1.5	0	1	goth,romantic	mixed	dark	Close bodice and upper trousers reveal moderate indentation.
32	1.5	?	?	goth,romantic	layered	colorful	Long shaped layer and raised arm confound local proportions.
33	1.5	0	1	goth,everyday	layered	dark	Open cardigan exposes midriff and close upper trousers.
34	1.5	?	1	romantic	waist-defined	muted	Fitted bodice; flared skirt hides hip breadth.
35	1.5	?	?	goth,romantic	waist-defined	dark	Laced fitted bodice shapes waist; long skirt hides hips.
36	1.5	?	?	goth,romantic	waist-defined	dark	Laced dress shapes trunk; skirt and hands obscure hips.
37	2.5	?	?	goth,romantic	waist-defined	dark	Visible arms support broader build; lacing and full skirt obscure shape.
38	2.5	?	?	goth,romantic	waist-defined	dark	Broad arms and torso; structured waist and skirt confound proportions.
39	2.5	?	?	punk,romantic	waist-defined	muted	Broad exposed limbs; held-out skirt and structured bodice.
40	1.5	?	1	punk,industrial	fitted	dark	Close shiny suit; turned stance blocks width comparison.
41	1.5	0	?	punk,industrial	fitted	dark	Enlarged review shows structured corset shaping waist; hips and shoulders remain visible.
42	1	?	?	romantic,dark-casual	waist-defined	dark	Narrow exposed limbs; gathered dress hides true hip contour.
43	1.5	0	?	punk,goth	fitted	dark	Close skirt and exposed shoulders; corset shapes waist.
44	1.5	0	?	punk,goth	fitted	dark	Upper hips visible; structured corset prevents independent waist judgment.
45	1.5	?	?	punk,goth	fitted	dark	Raised arms and corset confound both local comparisons.
46	1.5	0	?	punk,goth	fitted	dark	Short fitted skirt and bare shoulders; corset shapes waist.
47	2	?	?	romantic,goth	waist-defined	colorful	Laced bodice and hanging skirt obscure natural proportions.
48	2	?	?	romantic,goth	waist-defined	colorful	Laced bodice shapes waist; skirt obscures hip extent.
49	1.5	0	1	goth,punk	fitted	dark	Close mesh top and trousers; moderate waist contour.
50	3	-1	2	dark-casual,workwear	fitted	dark	Enlarged view shows pronounced waist indentation and broader hips in close jumpsuit.
51	3	?	?	goth,romantic	loose	dark	Full loose dress; visible legs support broad build only.
52	3	?	?	goth,romantic	loose	dark	Exposed arms and broad torso; empire skirt conceals waist and hips.
53	3	?	?	goth,romantic	loose	dark	Exposed arms support build; held skirt changes lower outline.
54	3	0	1	goth,romantic	fitted	dark	Close top and skirt show broad balanced contour.
55	1.5	0	2	dark-casual	fitted	dark	Enlarged view shows pronounced indentation between close tank and upper hips.
56	1.5	0	1	dark-casual,sport	mixed	dark	Exposed waist and close crop top above joggers.
57	3	0	0	dark-casual	mixed	dark	Tank and upper trousers show broad fairly straight torso.
58	1.5	0	2	dark-casual	fitted	dark	Enlarged fitted-dress view shows pronounced waist indentation, comparable to existing anchors.
59	2.5	0	1	dark-casual	fitted	dark	Close long dress and exposed arms show moderate indentation.
60	3	?	?	goth,tailored	layered	dark	Coat and loose lower layer obscure local contours.
61	2	?	1	goth,tailored	layered	dark	Open coat reveals close waist; hides shoulder and hip edges.
62	1.5	?	?	goth,romantic	layered	dark	Loose sheer dress over trousers obscures body boundaries.
63	1.5	?	?	goth,romantic	layered	dark	Sheer loose dress gives broad impression, not local landmarks.
64	2.5	?	?	goth,tailored	layered	muted	Structured coat and fur trim dominate contour.
