ordinal	build	shoulderHip	waist	view	clothing	evidence
1	2	?	?	partial	Green tee and denim shorts.	Moderate exposed arms and trunk; loose tee hides waist and hip comparison.
2	3	?	1	partial	Burgundy cropped tank and jeans.	Broad arms and fitted trunk taper; crop and denim conceal full hip contour.
3	?	?	?	seated	Taupe long-sleeve tee and jeans.	Loose top and reclining pose obscure contours.
4	1.5	?	?	seated	Blue tank and patterned shorts.	Narrow arms and trunk; reclining pose distorts local ratios.
5	2	?	?	seated	Purple tank and printed trousers.	Moderate arms and upper trunk; seated leg spread and lean obscure ratios.
6	3	?	?	seated	White tank and green trousers.	Broad exposed arms and trunk; reclining pose obscures waist and hip relationship.
7	1.5	?	?	seated	Burgundy crop tee and jeans.	Narrow arms and trunk; strong reclining angle distorts waist.
8	1.5	?	?	partial	Burgundy crop tee and jeans.	Narrow exposed arms and trunk; side view invalidates frontal ratios.
9	1.5	?	?	seated	Black crop tee and jeans.	Narrow arms and trunk; seated lean and hand placement obscure local axes.
10	2	?	?	partial	Red oversized tee and denim shorts.	Moderate exposed forearms and legs; loose tee hides waist and shoulders.
11	1.5	?	?	partial	Red oversized tee and denim shorts.	Narrow forearms and legs; turned oversized tee hides trunk ratios.
12	3	?	?	partial	Burgundy polo and jeans.	Broad arms and trunk; bloused polo obscures waist contour.
13	2	?	?	partial	Burgundy polo and dark trousers.	Moderate visible arms and trunk; side turn and polo obscure ratios.
14	1.5	?	?	partial	Yellow ringer tee and denim shorts.	Narrow arms and trunk; tucked folds hide waist and hip comparison.
15	3	?	?	partial	White and red graphic tee with red trousers.	Broad arms and trunk; hands behind hips and shirt folds obscure local contours.
16	3	?	?	partial	Yellow tee and jeans.	Broad exposed arms and trunk; hem folds obscure waist.
17	3	?	?	seated	Yellow tee and jeans.	Broad arms and trunk; seated pose obscures waist and hip proportions.
18	?	?	?	detail	Striped trouser pocket.	Only hip and hand visible; no overall body-axis evidence.
19	1.5	?	?	seated	White tank and striped trousers.	Narrow exposed arms and trunk; seated lean obscures ratios.
20	?	?	?	partial	Blue suit jacket.	Structured jacket and upper crop hide independent contours.
21	2.5	?	?	partial	Gray sweater and navy trousers.	Substantial trunk and arm breadth; knit folds and turn obscure local axes.
22	3	?	?	partial	Gray striped short-sleeve shirt.	Broad exposed arms and trunk; lean and loose shirt obscure ratios.
23	3	?	?	partial	Burgundy sweater and gray trousers.	Broad trunk and arms; knit folds and clasped hands hide waist.
24	3	?	?	partial	Burgundy sweater.	Broad trunk and arms; hand and knit folds obscure local contours.
25	2.5	?	?	partial	Navy knit polo.	Substantial trunk and arms; loose knit and cropped hips obscure ratios.
26	3	?	?	partial	Gray knit polo.	Broad trunk and arms; crossed arms and close crop hide waist and hips.
27	3	?	?	partial	Green short-sleeve knit polo.	Broad exposed arms and trunk; polo hem and hand obscure local ratios.
28	1.5	?	?	partial	Dark checked shirt and olive trousers.	Narrow trunk and arms; raised hand and shirt folds obscure local axes.
29	2.5	?	?	partial	Navy button shirt and olive trousers.	Substantial trunk and arms; shirt drape and pocketed hand hide waist and hips.
30	?	?	?	partial	White suit.	Side turn and structured jacket hide independent breadth.
31	?	?	?	partial	Gray blazer and black shirt.	Raised arms and structured jacket obscure body contours.
32	2	?	?	partial	White shirt and dark waistcoat.	Moderate arms and trunk; tailored waistcoat and raised hands obscure local axes.
33	1.5	?	?	partial	White patterned shirt.	Narrow exposed arms and trunk; loose shirt and crop obscure waist and hips.
34	?	?	?	partial	Burgundy suit and white shirt.	Structured jacket and portrait crop hide independent body breadth.
35	1.5	?	?	seated	White shirt and burgundy waistcoat.	Narrow arms and trunk; seated turn and tailoring obscure local axes.
36	3	?	?	partial	Black short-sleeve polo.	Broad exposed arms and trunk; turned pose and polo hide waist and hips.
37	3	?	?	partial	Black short-sleeve polo.	Broad exposed arms and trunk; clasped hands and hem obscure local axes.
38	1.5	?	?	partial	Black shirt and trousers with bow tie.	Narrow trunk and arms; shirt blousing and pocketed hand obscure waist and hips.
39	3	?	?	partial	Green patterned shirt and shorts.	Broad arms and trunk; loose matching set hides local contours.
40	2	?	?	partial	Olive short-sleeve shirt.	Moderate arms and trunk; loose shirt and crop obscure local axes.
41	3	?	?	partial	Blue short-sleeve shirt and pale trousers.	Broad exposed arms and trunk; turned stance and shirt hide local axes.
42	2.5	?	?	partial	Navy short-sleeve shirt and gray trousers.	Substantial exposed arms and trunk; shirt hem obscures waist and hips.
43	3	?	?	partial	White shirt and dark trousers.	Broad arms and trunk; hands and bloused shirt obscure local axes.
44	2	?	?	partial	Beige knit polo and gray trousers.	Moderate arms and trunk; knit hem and pocketed hand obscure waist and hips.
45	1.5	?	?	seated	Pink ruffled dress.	Narrow arms and legs with narrow trunk; seated lean and gathered dress obscure ratios.
46	?	?	?	partial	Pastel bomber jacket and lavender skirt.	Bulky jacket conceals trunk and arm contours.
47	?	?	?	seated	Pastel skeleton tracksuit.	Deep crouch and loose sweats conceal reliable body contours.
48	?	?	?	partial	Pastel hooded jacket.	Oversized jacket hides trunk and arms.
49	3	?	?	partial	Pastel hoodie and fitted shorts.	Broad trunk and thighs; hoodie hides waist and shoulders.
50	1.5	?	?	partial	Pink cardigan and pastel skirt.	Narrow fitted upper trunk and exposed legs; skirt conceals hips and layered top hides waist.
51	3	?	?	partial	Blue tiered dress.	Broad arms and trunk; gathered dress obscures waist and hips.
52	2	?	?	partial	Blue gathered dress.	Moderate arms and trunk; gathered waist and skirt obscure local contours.
53	2	?	?	partial	Black tiered dress.	Moderate arms and upper trunk; gathered bodice and turn obscure ratios.
54	1.5	?	1	partial	Pale blue flared dress.	Narrow exposed arms and fitted upper trunk taper; full skirt hides hip contour.
55	2	?	?	partial	Blue mesh top and pastel ruffled skirt.	Moderate arms and trunk; hand across waist, fabric folds and sideways lean obscure local taper.
56	3	?	?	partial	Blue mesh top and pastel ruffled skirt.	Broad trunk and legs; raised arms and hands at waist distort local contours.
57	2.5	?	?	partial	Pink striped top and pleated skirt.	Substantial arms and trunk; loose top obscures waist and skirt hides hips.
58	3	?	?	partial	Pink cardigan and lavender skirt.	Broad arms and trunk; cardigan folds and skirt conceal local axes.
59	3	?	?	partial	Pink cardigan and black tiered skirt.	Broad arms and upper trunk; layers obscure waist and hips.
60	2	?	1	partial	Pink fitted top and ruffled skirt.	Moderate arms and fitted trunk taper; skirt conceals hips.
61	1.5	?	?	partial	Pale pink top and black ruffled shorts.	Narrow exposed arms and trunk; side view obscures frontal ratios.
62	3	?	?	partial	Pink tiered dress and puff-sleeve layer.	Broad central trunk and visible legs; puff sleeves and gathered dress conceal local axes.
