ordinal	view	build	shoulderHip	waist	evidence
0	partial	1.5	?	?	Grey patterned cardigan over white collared shirt and dark trousers; masculine layered ensemble, knit volume obscures contours.
1	back	?	?	?	Rear cardigan view excluded.
2	detail	?	?	?	Isolated dark patterned shirt without wearer excluded.
3	back	?	?	?	Rear patterned shirt view excluded.
4	detail	?	?	?	Isolated shorts without wearer excluded.
5	detail	?	?	?	Rear shoulderless shorts crop excluded.
6	detail	?	?	?	Isolated pale trousers without wearer excluded.
7	detail	?	?	?	Shoulderless trouser crop excluded.
8	detail	?	?	?	Isolated floral shirt without wearer excluded.
9	detail	?	?	?	Chest-only floral shirt detail lacks lower ensemble.
10	detail	?	?	?	Isolated dress without wearer excluded.
11	full	1.5	?	?	Long burgundy wavy-striped slip dress and black boots; angled stance and draped skirt obscure hips and waist.
