ordinal	outcome
27	Retained build2 shoulderHip0 waist1; fitted red mini shows nearfront contour.
34	Retained build2 shoulderHip1 waist1; fitted mustard tank and green trousers show contour.
37	Cleared waist; tucked shirt blouses across waist.
39	Cleared waist; tucked shirt blouses across waist.
220	Cleared shoulderHip; hair and raised arm obscure shoulder.
375	Retained build1.5 shoulderHip0 waist1; gold fitted mini shows contour.
393	Cleared shoulderHip; elevated tilted perspective.
403	Retained build1.5 shoulderHip0 waist1; fitted floral halter and trousers show nearfront contour.
415	Retained build1.5 shoulderHip0 waist1; fitted orange dress shows contour.
434	Cleared shoulderHip and waist; structured gown and pressing hands.
444	Retained build1.5 shoulderHip0 waist1; dark but distinguishable fitted printed contour.
458	Retained build1.5 shoulderHip0 waist1; fitted tee and jeans show contour.
469	Retained build1.5 shoulderHip0 waist1; fitted printed long dress shows contour.
476	Cleared shoulderHip; low angle and hand pose.
489	Cleared shoulderHip and waist; structured embellished garment.
541	Cleared shoulderHip; hair covers boundary.
577	Retained build1.5 shoulderHip0 waist1; fitted black mini shows contour.
598	Cleared waist; gathered elastic garment waist.
599	Retained build1.5 shoulderHip0 waist1; fitted black gold mini shows contour.
670	Cleared shoulderHip; hair covers boundary.
709	Retained build2.5 shoulderHip0 waist1; fitted grey dress shows nearfront contour.
710	Retained build1.5 shoulderHip0 waist1; fitted pink tank and shorts show contour.
