ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Leather miniskirt crop omits shoulders.
1	detail	?	?	?	Side lower-body miniskirt view omits upper torso.
2	partial	2	0	?	Bare arms and fitted skirt show similar shoulder and hip span; corset prevents waist assessment.
3	back	?	?	?	Rear corset view excluded.
4	detail	?	?	?	Laced shorts close-up with shoulders absent.
5	back	?	?	?	Rear shorts view excluded.
6	full	2	0	?	Bare arms and close leather dress show similar shoulders and hips; laced construction obscures natural waist.
7	reject	?	?	?	Side repeat of leather dress.
8	partial	2	0	?	Visible arms and fitted shorts support build and similar shoulder-hip spans; corseted bodice obscures waist.
9	back	?	?	?	Rear black top and shorts excluded.
10	detail	?	?	?	Zipped shorts detail without torso.
11	detail	?	?	?	Side shorts-and-legs crop without shoulders.
12	full	3	?	1	Fitted printed dress and visible arms support broad build and moderate taper; angled stance prevents balance label.
13	back	?	?	?	Rear three-quarter printed-dress view excluded.
14	full	1.5	?	?	Slim arms and legs support build; held-open split skirt obscures hips and cutout garment shapes waist.
15	full	1.5	?	?	Closed striped dress retained for complete garment view; straight skirt conceals hip contour.
16	partial	2	0	1	Fitted sheer-panel top and fitted trousers show similar shoulder and hip spans with moderate taper.
17	reject	?	?	?	Side repeat of sheer-panel top.
18	full	3	0	1	Fitted sheer-panel dress shows broad build, similar shoulders and hips, moderate waist indentation.
19	back	?	?	?	Rear sheer-panel dress excluded.
20	detail	?	?	?	Leopard skort detail without shoulders.
21	detail	?	?	?	Side leopard skort crop without upper torso.
22	detail	?	?	?	Trouser product crop omits shoulders.
23	back	?	?	?	Rear trouser crop excluded.
24	partial	2.5	?	1	Bare arms and exposed middle support build and moderate taper; raised knee obscures frontal hip comparison.
25	full	2.5	?	?	Fitted leggings and torso support build; loose sweatshirt hides shoulders and waist.
26	full	3	?	?	Fitted leggings and tee support broad build; open denim jacket obscures shoulder and hip edges.
27	full	2	?	?	Bare arms support build; tailored vest and loose trousers conceal natural shape.
