ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Face and upper torso crop.
1	partial	3	?	?	Sage sleeveless tee and black shorts; hands and draping obscure waist.
2	reject	?	?	?	Closer view of blue tee outfit retained at 3.
3	full	3	?	?	Blue tee and dark trousers; long loose hem conceals waist and hips.
4	detail	?	?	?	Face and crossed arms crop.
5	reject	?	?	?	Green/pink tee variants repeat plain tee and black trousers.
6	reject	?	?	?	Green/pink tee variants repeat plain tee and black trousers.
7	reject	?	?	?	Green/pink tee variants repeat plain tee and black trousers.
8	partial	3	?	?	Cream tee and black trousers; broader upper-torso silhouette visible, hem hides waist/hips.
9	reject	?	?	?	Repeated plain tee styling and alternate poses.
10	reject	?	?	?	Repeated plain tee styling and alternate poses.
11	reject	?	?	?	Repeated plain tee styling and alternate poses.
12	seated	3	?	?	Black sleeveless top with shorts; seated pose obscures contours.
13	detail	?	?	?	Shoulder and neckline detail.
14	detail	?	?	?	Shoulder and neckline detail.
15	partial	3	?	?	Red sleeveless tee and black shorts; wide drape conceals waist and hips.
16	reject	?	?	?	Mint colorway repeats sleeveless tee and shorts.
17	detail	?	?	?	Shoulder or neckline detail.
18	detail	?	?	?	Shoulder or neckline detail.
19	reject	?	?	?	Blue colorway repeats sleeveless outfit.
20	detail	?	?	?	Neckline detail.
21	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
22	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
23	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
24	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
25	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
26	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
27	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
28	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
29	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
30	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
31	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
32	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
33	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
34	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
35	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
36	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
37	reject	?	?	?	Repeated plain tee colorways and near-identical poses; no new outfit construction.
38	reject	?	?	?	Seated repeat of printed tee at 39.
39	partial	2.5	?	?	Grey patterned tee and dark trousers; hands and drape obscure waist.
40	reject	?	?	?	Seated repeat of floral tee at 41.
41	partial	2.5	?	?	Green floral tee and dark trousers; clasped hands and loose hem hide axes.
42	seated	2.5	?	?	Grey polo and black trousers; seated pose obscures hips.
43	reject	?	?	?	Repeat grey polo outfit.
44	partial	2.5	?	?	Black hoodie and tan trousers; thick top conceals contours.
45	detail	?	?	?	Hood and hat closeup.
46	seated	2.5	?	?	Brown washed tee and dark trousers; seated pose hides axes.
47	detail	?	?	?	Tee fabric closeup.
48	partial	2.5	?	?	Blue washed tee with black trousers; loose hem conceals waist.
49	reject	?	?	?	Closer washed tee variant.
50	seated	2.5	?	?	Dark sleeveless tank and shorts; seated lean obscures axes.
51	back	?	?	?	Rear tank.
52	reject	?	?	?	Closer version of open shirt outfit at 53.
53	full	2.5	?	?	Navy open camp shirt and shorts over white tank; layers conceal waist.
54	reject	?	?	?	Closer version of long-sleeve outfit at 55.
55	partial	2.5	?	?	Black washed long-sleeve top with tan trousers; hem drape conceals axes.
56	seated	2.5	?	?	Green washed long-sleeve top; leaning seated pose hides waist/hips.
57	seated	2.5	?	?	Green washed top and black trousers; seated pose obscures axes.
58	detail	?	?	?	Flat garment.
59	detail	?	?	?	Flat garment.
60	detail	?	?	?	Flat garment.
61	reject	?	?	?	Two-person outfit image.
62	detail	?	?	?	Flat garment or lower-body crop.
63	detail	?	?	?	Flat garment or lower-body crop.
64	detail	?	?	?	Flat garment or lower-body crop.
65	detail	?	?	?	Flat garment or lower-body crop.
66	detail	?	?	?	Flat garment or lower-body crop.
67	partial	1.5	?	?	Brown embroidered collared pullover and bucket hat; loose top and low crop obscure hips.
68	detail	?	?	?	Flat tee.
69	full	1.5	?	?	White graphic tee and yellow shorts; drape and angled stance obscure axes.
70	detail	?	?	?	Flat shorts.
71	back	?	?	?	Rear tee and shorts.
72	detail	?	?	?	Flat shorts.
73	detail	?	?	?	Flat shorts.
74	detail	?	?	?	Flat shorts.
75	full	1.5	?	?	White polo and checked yellow shorts; loose cut obscures contours.
76	detail	?	?	?	Flat garment or waistband detail.
77	detail	?	?	?	Flat garment or waistband detail.
78	detail	?	?	?	Flat garment or waistband detail.
79	partial	1.5	?	?	Cream graphic tee and striped shorts; crossed arm and loose tee obscure axes.
80	detail	?	?	?	Flat tee.
81	partial	1.5	?	?	Blue striped tee and cut-off jeans; arms extended and angled stance obscure contours.
82	detail	?	?	?	Flat tee.
83	detail	?	?	?	Tee chest crop.
84	detail	?	?	?	Flat shorts.
85	full	1.5	?	?	Red collared resort set; loose shirt and shorts conceal waist and hips.
86	detail	?	?	?	Flat shorts.
87	full	1.5	?	?	Blue open resort set with white tank; raised arms and splayed legs obscure widths.
88	detail	?	?	?	Flat garment or waistband closeup.
89	detail	?	?	?	Flat garment or waistband closeup.
90	detail	?	?	?	Flat garment or waistband closeup.
91	partial	1.5	?	?	Red tee and white lace shorts; seated/leaning pose and crop obscure contours.
92	detail	?	?	?	Flat tee or collar detail.
93	detail	?	?	?	Flat tee or collar detail.
94	detail	?	?	?	Flat tee or collar detail.
95	partial	1.5	?	?	Black stitched tee; crossed arms and crop conceal waist and hips.
96	detail	?	?	?	Flat sweater.
97	partial	1.5	?	?	Dog sweater layered with olive jacket; loose torso.
98	detail	?	?	?	Flat cardigan.
99	partial	1.5	?	?	Blue rabbit cardigan over striped shirt; hips cropped.
100	detail	?	?	?	Flat shirt.
101	partial	1.5	?	?	Red shirt over white swimsuit; raised arms distort torso.
102	detail	?	?	?	Flat garment or garment detail without person.
103	detail	?	?	?	Flat garment or garment detail without person.
104	detail	?	?	?	Flat garment or garment detail without person.
105	back	?	?	?	Rear shirt view.
106	detail	?	?	?	Flat shirt.
107	back	?	?	?	Rear shirt view.
108	detail	?	?	?	Flat shirt.
109	back	?	?	?	Rear shirt view.
110	detail	?	?	?	Flat shirt.
111	back	?	?	?	Rear shirt view.
112	detail	?	?	?	Flat shirt.
113	back	?	?	?	Rear shirt view.
114	detail	?	?	?	Flat garment or isolated trousers crop.
115	detail	?	?	?	Flat garment or isolated trousers crop.
116	detail	?	?	?	Flat garment or isolated trousers crop.
117	back	?	?	?	Rear trouser view.
118	detail	?	?	?	Flat trousers.
119	detail	?	?	?	Flat trousers.
120	detail	?	?	?	Flat trousers.
121	back	?	?	?	Rear trouser crop.
122	detail	?	?	?	Flat trousers or isolated trouser detail crop.
123	detail	?	?	?	Flat trousers or isolated trouser detail crop.
124	detail	?	?	?	Flat trousers or isolated trouser detail crop.
125	detail	?	?	?	Flat trousers or isolated trouser detail crop.
126	detail	?	?	?	Flat trousers or isolated trouser detail crop.
127	detail	?	?	?	Flat trousers or isolated trouser detail crop.
128	detail	?	?	?	Flat trousers or isolated trouser detail crop.
129	back	?	?	?	Rear trouser view.
130	detail	?	?	?	Flat trousers.
131	back	?	?	?	Rear trouser view.
132	detail	?	?	?	Flat tees.
133	detail	?	?	?	Flat tees.
134	detail	?	?	?	Flat tees.
135	back	?	?	?	Rear tee view.
136	detail	?	?	?	Flat tee.
137	back	?	?	?	Rear tee view.
138	detail	?	?	?	Flat vest.
139	back	?	?	?	Rear vest view.
140	detail	?	?	?	Flat shorts.
141	back	?	?	?	Rear shorts view.
142	detail	?	?	?	Flat shorts.
143	detail	?	?	?	Flat shorts.
144	detail	?	?	?	Flat shorts.
145	back	?	?	?	Rear shorts view.
146	detail	?	?	?	Flat garment or isolated rear shorts crop.
147	detail	?	?	?	Flat garment or isolated rear shorts crop.
148	detail	?	?	?	Flat garment or isolated rear shorts crop.
149	detail	?	?	?	Flat garment or isolated rear shorts crop.
150	detail	?	?	?	Flat garment or isolated rear shorts crop.
151	back	?	?	?	Rear jacket view.
152	detail	?	?	?	Flat jacket.
153	back	?	?	?	Rear jacket view.
154	detail	?	?	?	Flat jacket.
155	back	?	?	?	Rear jacket view.
156	detail	?	?	?	Flat jacket.
157	back	?	?	?	Rear jacket view.
158	detail	?	?	?	Flat jacket.
159	back	?	?	?	Rear jacket view.
160	detail	?	?	?	Flat jacket.
161	back	?	?	?	Rear jacket view.
162	detail	?	?	?	Flat jacket.
163	detail	?	?	?	Flat jacket.
164	partial	1.5	?	?	Cream polo and jeans; lower hips cropped.
165	reject	?	?	?	Repeated polo outfit side pose.
166	partial	1.5	?	?	Vest shirt and cap; layers obscure waist.
167	back	?	?	?	Rear vest view.
168	partial	2	?	?	Brown knit vest and black trousers; straight loose knit obscures waist.
169	back	?	?	?	Rear vest view.
170	reject	?	?	?	Same denim suit shown fully in171.
171	full	1.5	?	?	Denim workwear suit; jacket conceals waist and hip comparison.
172	full	3	?	?	Tie tee and checked trousers; tee drape obscures shoulder and waist edges.
173	reject	?	?	?	Repeated checked trouser outfit side pose.
174	partial	1.5	?	?	Fitted black waistcoat checked trousers; rigid vest defines silhouette.
175	reject	?	?	?	Repeated waistcoat outfit.
176	partial	1.5	?	?	Contrast collar white shirt black trousers; loose shirt obscures waist.
177	detail	?	?	?	Cuff detail.
178	partial	1.5	?	?	Checked trouser suit; shaped jacket not anatomical waist evidence.
179	reject	?	?	?	Repeated checked suit.
180	partial	2	?	?	Pinstriped suit; structured jacket obscures contours.
181	reject	?	?	?	Repeated pinstriped suit.
182	reject	?	?	?	Same grey tee outfit shown fully in183.
183	full	2	?	?	Grey tee and jeans; relaxed tee obscures waist.
184	partial	2.5	?	?	Geometric print trouser suit; tailoring obscures contours.
185	reject	?	?	?	Repeated print suit.
186	partial	1.5	?	?	Camp shirt over mesh sleeves; hands and loose shirt obscure waist.
187	detail	?	?	?	Shirt fabric detail.
188	partial	2	?	?	Purple tee jeans; hip crop and tee drape.
189	back	?	?	?	Rear tee view.
190	reject	?	?	?	Same tie tee checked trouser outfit as172.
191	reject	?	?	?	Same tie tee checked trouser outfit as172.
192	full	1.5	?	?	Black vest floral shirt and loose trousers; waist layers.
193	reject	?	?	?	Repeated vest outfit side pose.
194	partial	1.5	?	?	Floral camp shirt shorts; shirt hem conceals waist.
195	back	?	?	?	Rear shirt view.
196	partial	1.5	?	?	Ribbon collar blouse with tailored red trousers; fabric drape obscures waist.
197	detail	?	?	?	Collar portrait crop without outfit.
198	partial	3	?	?	Botanical open shirt black layers; waist obscured.
199	back	?	?	?	Rear shirt view.
200	detail	?	?	?	Trousers crop.
201	seated	1.5	?	?	Seated grey suit and graphic tee; seat and jacket obscure contours.
202	partial	1.5	?	?	Leaf print camp shirt over white tee black trousers; loose hem.
203	reject	?	?	?	Repeated leaf shirt outfit.
204	detail	?	?	?	Trousers crop.
205	full	1.5	?	?	Olive waistcoat trousers and workboots; vest shapes waist.
206	seated	1.5	?	?	White graphic tee and black trousers; seated splayed pose.
207	reject	?	?	?	Repeated tee outfit side view.
208	partial	1.5	?	?	Green print camp shirt jeans; loose hem.
209	detail	?	?	?	Shirt portrait detail.
210	reject	?	?	?	Same blazer outfit shown fully in211.
211	full	3	?	?	Black blazer mesh crop top yellow trousers; jacket covers contour.
212	partial	3	?	?	Black hardware sweatshirt checked trousers; loose sweatshirt waist.
213	reject	?	?	?	Repeated sweatshirt side pose.
214	full	1.5	?	?	Purple utility jumpsuit; cinched tailoring not body contour.
215	reject	?	?	?	Repeated jumpsuit side pose.
216	partial	1.5	?	?	Pink collared shirt jeans; hip crop and held jacket.
217	reject	?	?	?	Repeated pink shirt seated pose.
218	partial	1.5	?	?	Green waistcoat white tee and trousers; structured waist.
219	detail	?	?	?	Vest and trouser details.
220	detail	?	?	?	Vest and trouser details.
221	reject	?	?	?	Repeated green trousers outfit in side pose.
222	full	1.5	?	?	Grey waistcoat trousers cream tee; vest shapes waist.
223	back	?	?	?	Rear suit view.
224	detail	?	?	?	Skirt crops missing shoulders.
225	detail	?	?	?	Skirt crops missing shoulders.
226	partial	2	?	?	Black velvet corset and skirt; corset alters waist and skirt obscures hips.
227	reject	?	?	?	Repeated corset side pose.
228	full	2	?	1	Black mesh sleeved flared minidress; visible torso indentation but flared hips.
229	back	?	?	?	Rear dress view.
230	detail	?	?	?	Skirt crops missing upper torso.
231	detail	?	?	?	Skirt crops missing upper torso.
232	full	2	?	?	Black laced corset mini outfit; corset defines waist.
233	detail	?	?	?	Shorts and skirt detail crops without shoulders.
234	detail	?	?	?	Shorts and skirt detail crops without shoulders.
235	detail	?	?	?	Shorts and skirt detail crops without shoulders.
236	detail	?	?	?	Shorts and skirt detail crops without shoulders.
237	detail	?	?	?	Shorts and skirt detail crops without shoulders.
238	detail	?	?	?	Shorts and skirt detail crops without shoulders.
239	full	2	?	1	Striped crop top skirt; visible torso indentation but hip ruffles.
240	full	2	?	?	Black lace duster shorts corset layers; waist shaping and hip layers.
241	back	?	?	?	Rear duster outfit.
242	detail	?	?	?	Trousers crop.
243	detail	?	?	?	Trousers crop.
244	partial	3	?	?	Black lace corset and ruffled skirt; shaped waist and flared hips.
245	reject	?	?	?	Repeated corset outfit.
246	detail	?	?	?	Trousers crop.
247	reject	?	?	?	Side-only silhouette cannot compare front contours.
248	detail	?	?	?	Trousers crop.
249	detail	?	?	?	Trousers crop.
250	full	2	?	1	Slashed black knit and flares; torso indentation visible but crossed-leg pose.
251	reject	?	?	?	Repeated slashed outfit crop.
252	detail	?	?	?	Shorts skirts and trousers detail crops without shoulders.
253	detail	?	?	?	Shorts skirts and trousers detail crops without shoulders.
254	detail	?	?	?	Shorts skirts and trousers detail crops without shoulders.
255	detail	?	?	?	Shorts skirts and trousers detail crops without shoulders.
256	detail	?	?	?	Shorts skirts and trousers detail crops without shoulders.
257	detail	?	?	?	Shorts skirts and trousers detail crops without shoulders.
258	partial	2	?	1	Buckled crop top and split skirt; torso indentation visible but skirt flare.
259	reject	?	?	?	Repeated buckled top side pose.
260	detail	?	?	?	Skirt detail crops.
261	detail	?	?	?	Skirt detail crops.
262	partial	2	?	?	Black corset layered dress; waist altered by corsetry.
263	detail	?	?	?	Flat corset.
264	reject	?	?	?	Same black dress shown with shoulders in265.
265	full	1.5	?	?	Corset ruched midi dress; waist structure and skirt gathering.
266	full	3	?	1	Black tank maxi dress; torso indentation visible but full gathered skirt.
267	reject	?	?	?	Repeated black tank maxi dress.
268	full	2.5	?	?	Black corset blouse plaid gathered skirt; structured waist.
269	detail	?	?	?	Skirt detail.
270	partial	2	?	1	Black fitted racer tank and pleated shorts; waist indentation but hands in pockets distort hips.
271	reject	?	?	?	Repeated tank shorts side pose.
272	detail	?	?	?	Top skirt crop missing shoulders.
273	partial	3	?	?	Lace trim jacket and flared mini; layers hide contours.
274	partial	3	?	?	Black white ruffled dress; puffed and flared layers.
275	partial	1.5	?	?	Lace trim blazer ruffled mini; jacket and skirt flare.
276	full	1.5	?	1	Satin lace-trim maxi; torso indentation but draped skirt and raised leg.
277	full	3	?	?	Satin column maxi; reread finds angled torso and pooled satin obscure shoulder balance and waist indentation.
278	partial	1.5	?	?	Black button front babydoll dress; gathered skirt.
279	partial	1.5	?	?	Black dress mesh turtleneck; loose gathered silhouette.
280	partial	1.5	?	1	Black wrap top and shorts; torso indentation but tilted pose and pocketed hips.
281	partial	1.5	0	1	Fitted wrap top jeans; similar shoulders and hips with moderate waist indentation.
282	partial	3	?	?	Black lace shirt dress; loose straight cut obscures contours.
283	reject	?	?	?	Repeated lace shirt dress.
284	partial	2	?	?	Textured black cardigan; layer obscures waist and hips.
285	partial	3	?	?	Black textured cardigan and dress; layered waist.
286	detail	?	?	?	Shorts crop missing shoulders.
287	partial	1.5	?	1	Black fitted top buckled shorts; torso indentation but angled hip pose.
288	full	3	?	?	Belted black trench and skirt; coat obscures body shape.
289	full	1.5	?	?	Black trench flared skirt; coat shapes waist.
290	partial	1.5	?	?	Lace-up vest ruffled skirt; vest and ruffles obscure contours.
291	detail	?	?	?	Skirt crop.
292	full	1.5	?	1	Black lace maxi belt; torso indentation but long draped skirt.
293	full	3	?	?	Black lace maxi bell sleeves; raised arm and belt obscure waist.
294	full	1.5	?	?	Black collared midi dress; gathered skirt and loose waist.
295	reject	?	?	?	Repeated collared dress.
296	detail	?	?	?	Bike shorts crop missing shoulders.
297	detail	?	?	?	Bike shorts crop missing shoulders.
298	partial	3	?	?	Black sheer-sleeve blouse trousers; loose blouse obscures waist.
299	partial	3	?	?	Black mesh sleeve top ruffled skirt; skirt hides hips and arms obscure waist.
300	detail	?	?	?	Flare trousers crop missing shoulders.
301	full	1.5	?	1	Black crop bell top and flares; visible waist indentation but loose hips.
302	reject	?	?	?	Same ruffled maxi in303.
303	full	1.5	?	?	Black tiered off-shoulder maxi; ruffles obscure contours.
304	partial	3	0	1	Black fitted tank romper; similar shoulder hip widths with visible moderate indentation.
305	partial	2.5	0	1	Black fitted tank romper; similar shoulder hip widths and moderate indentation.
306	partial	2	?	?	Black sheer smock dress; loose drape obscures contours.
307	partial	1.5	?	?	Black sheer smock dress; fabric held outward.
308	partial	1.5	?	1	Black bell sleeve fitted top and ruffled mini; torso indentation with obscured hips.
309	reject	?	?	?	Repeated bell sleeve outfit.
310	detail	?	?	?	Skirt detail crops.
311	detail	?	?	?	Skirt detail crops.
312	partial	3	?	?	Black lace-up sheer-waist flared mini; structured waistband and skirt flare.
313	reject	?	?	?	Repeated flared mini.
314	detail	?	?	?	Skirt crop.
315	partial	1.5	?	?	Black lace ruffled skirt and sheer blouse; skirt hides hips.
316	partial	2.5	?	?	Chain cardigan white tee and lace shorts; layers obscure waist.
317	partial	1.5	?	?	Chain cardigan and lace shorts; long cardigan obscures torso.
318	partial	2	?	?	Satin lace camisole trousers; loose hem obscures waist.
319	partial	2	?	?	Satin lace camisole and loose trousers; draped torso.
320	partial	3	?	1	Satin asymmetric lace dress; moderate torso indentation but flared skirt.
321	partial	2.5	?	1	Satin dress over mesh top; torso indentation with flared hips.
322	full	3	?	?	Black gathered maxi dress; loose torso and skirt conceal axes.
323	full	2.5	?	1	Black gathered maxi boots; fitted upper torso indentation but skirt flare.
324	partial	2	?	?	Black top joggers; hands pocketed and hips cropped.
