ordinal	view	build	shoulderHip	waist	evidence
0	full	2	?	?	Burgundy plaid pinafore over cream flared sleeves with platform sandals; gathered skirt conceals hips and waist contour.
1	reject	?	?	?	Repeated pose of outfit 0.
2	reject	?	?	?	Same pinafore ensemble as 0 in a blue plaid colorway.
3	back	?	?	?	Rear oblique view of repeated plaid pinafore.
4	reject	?	?	?	Same pinafore ensemble as 0 in a brown plaid colorway.
5	reject	?	?	?	Repeated pose and brown colorway of outfit 0.
6	partial	2	?	?	Chunky maroon cardigan over black collared shirt with belted gray trousers; knit layering hides contours.
7	back	?	?	?	Rear cardigan view.
8	seated	1.5	?	?	Navy varsity cardigan with white V-neck, tan trousers and brown lace-up boots; seated pose obscures proportions.
9	reject	?	?	?	Close crop of outfit 2.
10	partial	1.5	?	?	Black work coat with contrasting collar over dark textured knit and trousers; outer layer hides contours.
11	back	?	?	?	Rear work coat view.
12	partial	1.5	?	?	Cream striped-sleeve tee and blue jeans; neutral basics and ball over hip leave uncertain axes unknown.
13	back	?	?	?	Rear tee view.
14	partial	1.5	?	?	Navy textured shawl-neck pullover; lower outfit cropped and knit obscures waist.
15	back	?	?	?	Rear pullover view.
16	reject	?	?	?	Navy chunky cardigan and neutral trousers repeat previously admitted shawl-cardigan ensemble with minor knit detailing.
17	reject	?	?	?	Oblique repeat of cardigan ensemble 10 and prior shawl-cardigan admission.
18	reject	?	?	?	Closer tilted crop of outfit 13.
19	partial	1.5	?	?	Fitted white floral dark top with belted flowing navy trousers; romantic print and shaped separates, hands in pockets distort hips.
20	reject	?	?	?	Raised-arm crop of outfit 15.
21	partial	1.5	?	?	Draped gray jersey top with belted plum trousers; neutral separates, oblique pose and lower crop hide hip comparison.
22	reject	?	?	?	Red jersey and gray belted-trouser ensemble repeats fuller view 17.
23	full	2	0	1	Enlarged frontal red jersey, gray tapered trousers and pointed low heels; visible shoulders and hips approximately balanced with moderate waist indentation; relaxed arms and untied fitted separates support all axes.
24	reject	?	?	?	Close crop of repeated printed tee and belted dark-trouser styling.
25	reject	?	?	?	Printed tee with same belted dark trousers repeats outfit 13 with minor print variation.
26	reject	?	?	?	Floral top and belted navy trousers repeat outfit 13 with minor neckline change.
27	reject	?	?	?	Repeated floral ensemble; hands pull waistband.
28	partial	1.5	?	?	Navy shaped blazer and trousers with low scoop tan top; fitted tailored separates, jacket conceals waist and hips.
29	partial	2.5	?	?	Tan scoop collared jersey and black trousers; neutral ensemble, angled stance and pocket hand obscure hip and waist contours.
