ordinal	view	build	shoulderHip	waist	presentation	evidence
0	full	1.5	?	?	C	Black biker jacket with scarf, pale patterned skinny trousers and black boots; layers obscure torso contours.
1	full	1.5	?	?	D	Primary foreground outfit is a black velvet midi dress and heels; fitted sash but skirt hides hip contour.
2	seated	1.5	?	?	F	Black collared top, striped shorts and tall lace-up boots; seated foreshortening prevents proportion comparison.
3	seated	1.5	?	?	X	Leather jacket and patterned collared shirt with pale trousers and red heeled boots; crossed legs and jacket hide contours.
4	partial	1.5	?	?	F	Purple lace cropped top with denim shorts and long floral layer; raised arms and loose outer layer obscure axes.
5	seated	1.5	?	?	U	Navy sports jersey and shorts with white sneakers; seated side pose prevents torso comparison.
6	seated	1.5	?	?	U	Tan top and denim shorts perched sideways on a hydrant; side view conceals body axes.
7	partial	1.5	?	?	U	Black graphic tee, denim shorts and plaid waist layer; loose shirt and tied layer conceal waist and hips.
8	full	?	?	?	U	Distant jumping pose in dark tee and denim shorts; motion and scale prevent build judgment.
9	full	1.5	?	?	D	Striped short dress with yellow cardigan and orange belt; cardigan obscures body contour.
10	partial	2.5	?	?	U	Black long-sleeve top, plaid shorts and knee socks while hooping; active twist and arm pose obscure axes.
11	full	2	?	?	D	Blue belted dress, black cardigan and pink boots; gathered skirt and layers conceal hips.
12	full	1.5	?	?	D	Black top and jacket with pink tiered skirt; flared skirt prevents hip comparison.
13	full	2	?	1	D	Red strapless dress and turquoise necklace; enlarged view supports moderate waist indentation, pocketed skirt obscures hip breadth.
14	partial	1.5	?	?	X	Gray tailored jacket with dark velvet lapels, pale skirt and necklaces; jacket shapes the torso.
15	full	?	?	?	D	Long dark robe over light top and striped skirt; full layers prevent build or waist judgment.
16	full	1.5	?	?	D	Purple striped knit dress under a long pale coat with tights; coat conceals shoulder and waist contours.
17	full	1.5	?	?	U	Long white graphic top, leather jacket, leggings and sneakers; loose layers hide torso proportions.
18	partial	1.5	?	?	U	Pale patterned loose blouse and pink shorts by the beach; hand raised and blouse drape conceal axes.
19	partial	1.5	?	1	F	Red sleeveless romper; enlarged view supports moderate waist indentation, raised arms invalidate shoulder comparison.
20	full	1.5	?	?	F	Light blouse, dark pleated skirt and lace-up boots; lean and flared skirt obscure hip balance.
21	full	1.5	?	?	D	Loose red patterned short dress and dark flats; flowing dress hides waist and hips.
22	full	1.5	?	?	D	Black top with structured cream skirt, dark trim and pale heels; flared skirt hides hip contour.
23	seated	1.5	?	?	D	Blue dress, dark cardigan and tights reclining on grass; seated angle hides torso proportions.
24	seated	1.5	?	?	D	Teal patterned dress and tights seated on grass; pose and skirt obscure axes.
25	seated	1.5	?	?	U	Camouflage overshirt, denim shorts and ankle boots seated on curb; side pose prevents body comparison.
26	reject	?	?	?	U	Beach pose repeats patterned blouse and pink shorts ensemble at original ordinal 954.
27	full	1.5	?	?	D	Gold patterned flared short dress and black boots; raised arm and skirt hide axes.
28	full	1.5	?	?	D	Pink white-trimmed Lolita dress with white knee socks; structured bodice and bell skirt conceal proportions.
29	partial	1.5	?	?	D	Orange gathered halter dress; bent pose and full skirt prevent hip comparison.
30	partial	1.5	?	?	F	Striped sleeveless top and layered slit skirt with decorated tights; side-on pose prevents body axes.
31	full	1.5	?	?	D	Loose cream zigzag-patterned mini dress and green heels; drape conceals waist and hips.
32	full	1.5	?	?	F	Yellow graphic top, blue straight skirt and turquoise shoes; oblique stance obscures shoulder comparison and waistband shapes waist.
33	full	1.5	0	1	F	Black cutout cropped top, fitted dark trousers and burgundy boots; enlarged front view shows similar shoulders and hips with moderate visible waist indentation.
34	full	1.5	?	?	F	Tied pale blouse, pink pleated skirt and pale flats; raised arm, crossed legs and pleats obscure axes.
35	seated	1.5	?	?	U	Burgundy top and patterned shorts reclining on path; reclined posture prevents proportion comparison.
36	full	1.5	?	?	D	Pale floral mini dress and tall lace-up boots leaning on railing; sideways pose and skirt hide axes.
37	partial	2	?	?	F	Red floral sleeveless romper and tall socks; enlarged view shows loose fabric across waist and hips, so those axes remain unknown.
38	seated	1.5	?	?	D	Dark sleeveless dress seated sideways in a chair; strong foreshortening prevents body axes.
39	full	1.5	?	?	F	Black top and cardigan, patterned mini skirt and red knee boots; hand on waist and layers obscure contour.
40	full	1.5	?	?	F	White open-shoulder knit top, dark short skirt and tall boots; lifted leg and loose top prevent body comparison.
41	full	1.5	?	?	D	Striped long jacket over dark skirt and tights with heels; side view and outer layer hide axes.
42	reject	?	?	?	F	Raised-arm pose repeats tied blouse and pink pleated skirt ensemble at original ordinal 970.
43	full	1.5	?	?	U	Black leather jacket, gray joggers and black strapped shoes; loose layers hide waist and hips.
44	full	1.5	?	?	D	Black halter mini dress and tall black boots; hand at waist and skirt shape prevent hip comparison.
45	full	1.5	?	?	D	Pale blue gathered short dress with dark ankle boots; skirt flare and hand on hip hide axes.
46	partial	1.5	?	?	D	Pale floral flowing dress with decorative headwear; tilted pose and lifted skirt obscure body proportions.
47	seated	1.5	?	?	U	Dark top, denim shorts and white sneakers seated on path; bent seated pose hides axes.
