ordinal	view	build	shoulderHip	waist	evidence
0	seated	3	?	?	White fitted tee with floral trousers; seated pose obscures hip comparison.
1	detail	?	?	?	Face and neckline crop.
2	partial	1.5	?	?	Brown tee and black trousers; pulled hem obscures waist.
3	reject	?	?	?	Side repeat of tee outfit at 2.
4	partial	1.5	?	?	White zip collar shirt and black trousers; shirt drape hides waist.
5	reject	?	?	?	Same zip shirt outfit as 4 with raised arm.
6	partial	2.5	?	?	Printed blazer with black shirt and tie; structured jacket covers contours.
7	reject	?	?	?	Repeat blazer and tie outfit at 6.
8	partial	1.5	?	?	Checked suit and vest; jacket obscures contour.
9	reject	?	?	?	Seated repeat of checked suit.
10	detail	?	?	?	Trouser crop without shoulders.
11	full	1.5	?	?	Sheer black top and floral pants with heels; side angle prevents width comparison.
12	seated	1.5	?	?	Checked vest and trousers; seated splayed legs and jacket on shoulder obscure axes.
13	detail	?	?	?	Lower-body detail.
14	partial	1.5	?	?	Logo tee and pinstripe trousers; loose tucked hem obscures indentation.
15	reject	?	?	?	Repeat logo tee outfit.
16	full	1.5	?	?	Green utility coverall; constructed waistband and loose hips hide body axes.
17	detail	?	?	?	Fabric pocket detail.
18	full	2.5	?	?	Black tee and red trousers; loose shirt and trouser volume conceal contours.
19	back	?	?	?	Rear trouser crop.
20	partial	1.5	?	?	Black polo and belted trousers; upper hip crop limits comparison.
21	detail	?	?	?	Sleeve closeup.
22	partial	3	?	?	Striped jacket over white shirt and tie; layering covers waist.
23	reject	?	?	?	Closed-jacket repeat of 22.
24	reject	?	?	?	Black tee and red trousers repeated from 18.
25	reject	?	?	?	Side repeat of black tee and red trousers.
26	partial	1.5	?	?	Black work jacket and green top; raised arm and jacket obscure contours.
27	reject	?	?	?	Repeat work jacket outfit.
28	detail	?	?	?	Trouser crop without shoulders.
29	full	1.5	?	?	Green mockneck with dark utility trousers; profile angle obscures shoulder/hip widths.
30	partial	1.5	?	?	Black collared shirt and checked trousers; loose hem covers waist.
31	reject	?	?	?	Side repeat of shirt outfit.
32	full	1.5	?	?	Blue coveralls and boots; utility silhouette hides body contours.
33	reject	?	?	?	Side repeat of coveralls.
34	partial	3	?	?	Lilac sweater over white collar with black trousers; knit drapes over waist.
35	back	?	?	?	Rear sweater view.
36	detail	?	?	?	Flat garment without person.
37	back	?	?	?	Rear garment view; front outfit not visible.
38	detail	?	?	?	Flat garment without person.
39	back	?	?	?	Rear garment view; front outfit not visible.
40	detail	?	?	?	Flat garment without person.
41	back	?	?	?	Rear garment view; front outfit not visible.
42	detail	?	?	?	Flat garment without person.
43	back	?	?	?	Rear garment view; front outfit not visible.
44	detail	?	?	?	Flat garment without person.
45	back	?	?	?	Rear garment view; front outfit not visible.
46	detail	?	?	?	Flat garment without person.
47	back	?	?	?	Rear garment view; front outfit not visible.
48	detail	?	?	?	Flat garment without person.
49	back	?	?	?	Rear garment view; front outfit not visible.
50	detail	?	?	?	Flat garment without person.
51	back	?	?	?	Rear garment view; front outfit not visible.
52	detail	?	?	?	Flat garment without person.
53	back	?	?	?	Rear garment view; front outfit not visible.
54	detail	?	?	?	Flat garment without person.
55	back	?	?	?	Rear garment view; front outfit not visible.
56	detail	?	?	?	Flat garment without person.
57	back	?	?	?	Rear garment view; front outfit not visible.
58	detail	?	?	?	Flat garment without person.
59	back	?	?	?	Rear garment view; front outfit not visible.
60	detail	?	?	?	Flat garment without person.
61	back	?	?	?	Rear garment view; front outfit not visible.
62	detail	?	?	?	Flat garment without person.
63	back	?	?	?	Rear garment view; front outfit not visible.
64	detail	?	?	?	Flat garment without person.
65	back	?	?	?	Rear garment view; front outfit not visible.
66	detail	?	?	?	Flat garment without person.
67	back	?	?	?	Rear garment view; front outfit not visible.
68	detail	?	?	?	Flat garment without person.
69	back	?	?	?	Rear garment view; front outfit not visible.
70	detail	?	?	?	Flat garment without person.
71	back	?	?	?	Rear garment view; front outfit not visible.
72	partial	2	?	?	White sports tee and denim shorts; loose hem obscures waist.
73	detail	?	?	?	Crossed arms and neckline closeup.
74	reject	?	?	?	Closer version of outfit retained at 75.
75	full	3	?	?	Black oversized tee and denim shorts; draping conceals waist and hips.
76	reject	?	?	?	Near-identical navy colorway of 75.
77	reject	?	?	?	Near-identical tee and shorts styling of 75.
78	partial	1.5	?	?	Green oversized tee and shorts; wide shirt hides contours.
79	reject	?	?	?	Side repeat of green tee outfit.
80	partial	3	?	?	Cream tee and pleated denim trousers; pleats obscure hip contour.
81	reject	?	?	?	Untucked repeat of cream tee and jeans.
82	partial	1.5	?	?	Burgundy fitted tee and jeans; loose hip volume prevents shoulder comparison.
83	reject	?	?	?	Tucked repeat of burgundy tee outfit.
84	reject	?	?	?	Closer version of outfit at 85.
85	full	2.5	?	1	Teal fitted crop and loose denim trousers; visible moderate waist indentation, hip volume obscured.
