ordinal	view	build	shoulderHip	waist	presentation	evidence
0	reject	?	?	?	U	Close upper-body crop duplicates the fuller green tee view at 1.
1	reject	?	?	?	U	Green tee crop superseded by directly reviewed full outfit at 120.
2	detail	?	?	?	U	Neckline close-up without outfit context.
3	reject	?	?	?	U	Green V-neck crop superseded by full outfit at 121.
4	reject	?	?	?	U	Blue long-sleeve crop repeats the fuller view at 5.
5	reject	?	?	?	U	Blue long-sleeve crop superseded by full outfit at 122.
6	reject	?	?	?	U	Olive tee crop superseded by full outfit at 123.
7	detail	?	?	?	U	Shoulder and sleeve detail only.
8	reject	?	?	?	U	Blue tee close crop; repeated basic tee composition.
9	reject	?	?	?	U	Blue recolor of tee and trousers already represented at 6.
10	reject	?	?	?	U	Burgundy tee portrait crop; repeated basic tee composition.
11	reject	?	?	?	U	Burgundy recolor of basic tee outfit at 6.
12	reject	?	?	?	U	Seated green long-sleeve crop repeats fuller standing view at 13.
13	reject	?	?	?	U	Green long-sleeve crop superseded by full outfit at 126.
14	reject	?	?	?	U	Burgundy long-sleeve recolor repeats represented basic outfit.
15	reject	?	?	?	U	Side pose repeats burgundy long-sleeve outfit.
16	reject	?	?	?	U	Blue tee portrait duplicates represented basic tee outfit.
17	reject	?	?	?	U	Blue tee colorway repeats the basic outfit at 1.
18	reject	?	?	?	U	Blue tee close crop repeats represented basic tee.
19	reject	?	?	?	U	Blue tee recolor and angled pose repeat represented outfit.
20	reject	?	?	?	U	Burgundy tee close crop repeats represented tee outfit.
21	reject	?	?	?	U	Burgundy tee colorway repeats represented basic outfit.
22	detail	?	?	?	U	Hood adjustment close-up without lower outfit.
23	reject	?	?	?	U	Olive hoodie crop superseded by full outfit at 131.
24	reject	?	?	?	U	Hooded portrait over chair; fuller black hoodie view at 25.
25	reject	?	?	?	U	Black hoodie crop superseded by full outfit at 132.
26	reject	?	?	?	U	Blue trouser crop superseded by full outfit at 133.
27	reject	?	?	?	U	Seated repeat of blue trouser outfit at 26.
28	partial	?	?	?	U	Black athletic shorts with green top crop and sneakers; upper torso missing.
29	detail	?	?	?	U	Shorts hem and logo detail only.
30	partial	?	?	?	U	Tan shorts with black hem and sneakers; shoulders and torso missing.
31	detail	?	?	?	U	Drawstring waistband detail only.
32	partial	?	?	?	U	Dark tailored shorts and sneakers; upper torso cropped away.
33	reject	?	?	?	U	Rear repeat of dark shorts outfit at 32.
34	seated	?	?	?	U	Striped top and pale trousers with sneakers; seated pose and missing shoulders prevent build and shape judgment.
35	partial	?	?	?	U	Pale trousers and dark tucked top crop; upper torso absent.
36	reject	?	?	?	C	Taupe camp shirt seated pose superseded by full ensemble at 134.
37	reject	?	?	?	C	Taupe camp shirt crop superseded by full ensemble at 134.
38	reject	?	?	?	U	Olive shirt portrait behind chair; insufficient ensemble and repeated pose.
39	reject	?	?	?	C	Olive camp shirt crop set aside for fuller collared ensemble at 135.
40	detail	?	?	?	U	Flat green shorts product photograph.
41	full	1.5	?	?	C	Green contrast-trim camp shirt and matching shorts with sandals; slim limbs, loose shirt obscures waist and hips.
42	detail	?	?	?	U	Flat cream shorts product photograph.
43	partial	3	?	?	C	Open embroidered camp shirt with matching cream shorts; broader torso, leaning pose and shirt obscure shoulder-hip comparison.
44	detail	?	?	?	U	Flat black embroidered shirt product photograph.
45	full	1.5	?	?	C	Black camp shirt with white trousers and dark shoes; slim build, raised arm and crossed legs prevent shape comparison.
46	detail	?	?	?	U	Flat zip knit product photograph.
47	partial	1.5	?	?	C	Dark zip knit over white tee with trousers on boat; slim torso, steering wheel and crop obscure hips.
48	detail	?	?	?	U	Flat red tee product photograph.
49	reject	?	?	?	U	Two-person promotional scene; no individual body record.
50	detail	?	?	?	U	Flat cream jacket product photograph.
51	partial	1.5	?	?	C	Cream sport jacket and dark shorts ensemble; slim legs, bloused jacket conceals waist and hips.
52	detail	?	?	?	U	Flat jacket front and rear composite.
53	detail	?	?	?	U	Collar and fabric detail only.
54	detail	?	?	?	U	Flat navy shorts product photograph.
