ordinal	view	build	shoulderHip	waist	presentation	evidence
0	full	1.5	?	?	F	Metallic shorts ensemble; angled pose.
1	partial	2	?	1	D	Fitted floral dress; upper hips cropped.
2	full	1.5	?	?	D	Striped knit and dark skirt; skirt obscures hips.
3	full	1.5	?	?	F	Layered top and geometric leggings; covered waist.
4	full	1.5	?	?	D	Cardigan and pleated skirt; loose hips.
5	full	1.5	?	?	F	Black jacket, jeans and platform heels; covered torso.
6	reject	?	?	?	D	Repeated cardigan/skirt runway outfit from 4.
7	full	1.5	?	?	F	Diamond vest and dotted trousers with heels; garment-shaped hips.
8	full	1.5	?	?	D	Pink jacket and printed dress; layered contours.
9	full	1.5	?	?	D	Ruffled strapless gown; structured bodice and skirt.
10	partial	2	?	?	U	Grey tee and shorts; loose draped hem.
11	partial	1.5	?	?	C	Cap, open jacket, shirt and shorts; layered torso.
12	partial	1.5	?	?	D	White lace and pleated dress; crop and fabric fullness.
13	full	1.5	?	?	D	Pale draped dress; skirt hides hips.
14	back	?	?	?	D	Rear green gown.
15	back	?	?	?	D	Rear black dress.
16	partial	1.5	?	?	D	Blue flared dress; skirt volume.
17	partial	1.5	?	?	D	Purple fitted-bodice gown; flared skirt.
18	back	?	?	?	D	Rear white dress.
19	full	1.5	?	?	D	Red strapless gown; structured bodice and skirt.
20	full	1.5	?	?	F	Belted trench and leggings with heels; coat-shaped contour.
21	full	1.5	?	?	F	Belted coat and coral trousers; coat hides waist.
22	partial	1.5	?	?	D	Dark coat over mini skirt; layered torso.
23	full	1.5	?	?	D	Long printed tank mini; loose hem.
24	full	1.5	?	?	D	Black sheer long dress; dark layered contour.
25	full	1.5	?	?	D	Metallic long sheer dress; garment drape.
26	partial	1.5	?	?	D	Floral dress with fuzzy jacket; covered shoulders.
27	full	2	0	1	D	Fitted red mini dress; front contours; recheck.
28	full	1.5	?	?	U	Bare torso and black trousers; turned torso, raised arm.
29	partial	2.5	?	?	C	Red jacket over plaid shirt; cropped torso.
30	partial	1.5	?	?	C	Collared layer and sweater vest with trousers; hips cropped.
31	seated	1.5	?	?	C	Plaid shirt and jeans; seated side pose.
32	full	?	?	?	C	Distant collared shirt and jeans; insufficient contour detail.
33	partial	1.5	?	?	M	Grey blazer, collared shirt and jeans; layers obscure waist.
34	full	2	1	1	U	Mustard tank and green fitted trousers; front contours; recheck.
35	seated	2	?	?	M	Blazer and pale trousers; seated folded posture.
36	full	1.5	?	?	U	Graphic green tee and tan trousers; loose top.
37	full	2	0	?	C	Checked tucked shirt and grey trousers; enlarged check shows waist hidden by loose fabric.
38	partial	2	?	?	U	Floral sports tee and jeans; raised arm and crop.
39	full	1.5	1	?	C	Checked tucked shirt and jeans; enlarged check shows waist hidden by loose fabric.
40	full	1.5	?	?	C	Cap, oversized graphic tee and wide trousers; crossed arms.
41	reject	?	?	?	U	Distant rear figure in landscape.
42	partial	2	?	?	U	Graphic tank; arm blocks waist and hips cropped.
43	partial	2	?	?	U	Graphic tee; angled cropped torso.
44	full	1.5	?	?	C	Printed button shirt and dark trousers; raised arms.
45	full	1.5	?	?	U	Red graphic tee and white trousers; walking pose and loose top.
46	full	2	?	?	M	Tan three-piece tailoring; structured layers.
47	full	1.5	?	?	C	Blue shirt and dark jogger trousers; loose hem.
48	full	1.5	?	?	C	Brown jacket and white trousers; layered torso.
49	full	1.5	?	?	F	Hat, layered jacket, mini and platform boots; side pose.
50	partial	?	?	?	C	Leather jacket and scarf performance crop; raised arm.
51	partial	1.5	?	?	U	Graphic raglan tee; lower torso cropped.
52	partial	?	?	?	U	Loose white knit; hidden contours.
53	partial	?	?	?	F	Tied white top and red skirt; distant torso crop.
54	back	?	?	?	U	Rear denim jacket.
55	partial	1.5	?	?	U	Patterned cardigan over white tee; crop hides hips.
56	partial	?	?	?	C	Striped shirt and vest; cropped lower torso.
57	full	1.5	?	?	F	Dark jacket, mini and heeled boots; turned stance.
58	seated	1.5	?	?	F	Coral crop and denim shorts; crouched skating pose.
59	full	1.5	?	?	U	Pale shirt and shorts; side stance and raised arm.
60	full	1.5	?	?	D	Graphic short dress; overhead camera and bent posture.
61	partial	1.5	?	?	D	Dotted dress and cardigan; flared skirt.
62	partial	1.5	?	1	F	Tied denim crop and white shorts; raised arms prevent width comparison.
63	seated	1.5	?	?	U	Blue tee and shorts; reclined seated posture.
64	full	1.5	?	?	F	Jacket and short patterned ensemble; layered torso.
65	seated	1.5	?	?	F	White off-shoulder crop and jeans with platforms; side seated pose.
66	full	1.5	?	?	D	Striped fitted skirt ensemble; bent side pose.
67	partial	1.5	?	?	U	Grey tee and shorts; turned torso.
68	partial	1.5	?	?	U	White top and denim shorts; side pose with arms raised.
69	partial	1.5	?	?	D	Dotted dress and hat; side view.
70	full	1.5	?	?	F	Black crop and plum skirt; side view and raised arm.
