ordinal	view	build	shoulderHip	waist	presentation	evidence
0	full	2	?	?	D	Black red flared lace dress; skirt and sleeves hide contour.
1	full	?	?	?	X	Draped blue tunic grey jacket and white skirt; build hidden.
2	full	1.5	?	1	F	Black fitted crop and loose trousers with purple heels; hips concealed.
3	full	1.5	?	?	U	Red spotted loose shirt and trousers; torso hidden.
4	full	1.5	?	?	C	Black mesh layered tee and torn jeans; loose waist.
5	reject	?	?	?	U	Two equally prominent subjects.
6	full	1.5	?	?	M	Black blazer and grey tailored trousers; covered waist.
7	reject	?	?	?	U	Two equally prominent subjects.
8	reject	?	?	?	U	Two equally prominent subjects.
9	reject	?	?	?	U	Two equally prominent subjects.
10	full	1.5	?	?	D	Patchwork full skirt dress; waist and hips hidden.
11	reject	?	?	?	U	Two equally prominent subjects.
12	full	1.5	?	?	U	Long black tank and loose trousers; waist hidden.
13	full	?	?	?	U	Oversized colorful top and wide black trousers; build concealed.
14	full	2	?	?	U	Black loose tank and white loose trousers; waist and hips concealed.
15	full	1.5	?	?	U	Pink tank and wide jeans; tucked fabric hides waist.
16	reject	?	?	?	U	Two equally prominent subjects.
17	full	1.5	?	?	D	Pink lace flared mini and white stockings; draped torso.
18	full	1.5	?	?	C	Plaid overshirt graphic tee and jeans; layered waist.
19	full	1.5	?	?	D	Black blouse and asymmetric skirt; loose waist.
20	full	1.5	?	?	X	Ruffled lace blouse and yellow tailored trousers; loose waist.
21	reject	?	?	?	U	Two equally prominent subjects.
22	full	?	?	?	M	Long printed coat shirt tie and wide trousers; build hidden.
23	full	1.5	?	?	C	Black loose overalls white shirt and boots; torso concealed.
24	full	1.5	?	?	X	Printed robe layered lace top and tailored pink trousers; torso hidden.
25	full	2	?	?	F	White lace blouse blue shorts and platform heels; loose waist.
26	full	2	?	?	X	Sheer mesh harness tailored coat shorts tights and heels; shoulder outline covered.
27	reject	?	?	?	U	Two equally prominent subjects.
28	full	1.5	?	?	C	Long glossy coat graphic tee shorts and boots; covered torso.
29	reject	?	?	?	U	Two equally prominent subjects.
30	reject	?	?	?	U	Two equally prominent subjects.
31	reject	?	?	?	U	Two equally prominent subjects.
32	full	1.5	?	?	X	Graphic knit collared shirt and flared patterned trousers; layered waist.
33	full	?	?	?	M	Oversized black jacket tunic and wide trousers; build hidden.
34	full	1.5	?	1	D	Pink fitted tank and red flared mini; skirt hides hips.
35	reject	?	?	?	U	Two equally prominent subjects.
36	full	2	?	?	D	Black loose mini white bib and heels; torso hidden.
37	full	1.5	?	?	M	Black shirt tie and tailored grey trousers; tucked shirt hides waist.
38	reject	?	?	?	U	Two equally prominent subjects.
39	full	1.5	?	?	M	Dark three piece suit and hat; tailoring hides body axes.
40	full	1.5	?	?	C	Printed black tee and wide cargo trousers; loose hips.
41	full	?	?	?	D	Pink patterned jacket and long layered skirt; build hidden.
42	full	1.5	?	?	X	Orange hoodie black mini over wide trousers; covered waist.
43	reject	?	?	?	U	Three equally prominent subjects.
44	full	2	?	?	D	Layered white blouse graphic tee and black mini; torso hidden.
45	reject	?	?	?	U	Two equally prominent subjects.
46	reject	?	?	?	U	Two equally prominent subjects.
47	reject	?	?	?	U	Two equally prominent subjects.
48	reject	?	?	?	U	Two equally prominent subjects.
49	full	1.5	?	?	C	Printed short sleeve button shirt and narrow trousers; loose waist.
50	reject	?	?	?	U	Two equally prominent subjects.
51	full	1.5	?	1	F	Black one shoulder top and fitted flared jeans with heels; turned shoulders.
52	full	1.5	?	?	X	Long white vest plaid shirt and blue skirt with platform shoes; torso hidden.
53	full	1.5	?	?	X	Tan long shirt tie and black lace skirt with heels; torso covered.
54	full	1.5	?	?	C	Blue tee and wide denim trousers with boots; loose waist and hips.
55	full	?	?	?	C	Colorful shirt and oversized printed overalls; build hidden.
56	reject	?	?	?	U	Three equally prominent subjects.
57	full	1.5	?	?	D	Graphic top corset and patchwork skirt; garment shapes waist.
58	reject	?	?	?	U	Two equally prominent subjects.
59	full	?	?	?	D	Long dark coat over skirt; build hidden.
60	reject	?	?	?	U	Two equally prominent subjects.
61	reject	?	?	?	U	Two equally prominent subjects.
62	full	2.5	?	?	U	Black tee and very wide draped trousers; hips concealed.
63	reject	?	?	?	U	Three equally prominent subjects.
64	reject	?	?	?	U	Two equally prominent subjects.
65	full	1.5	?	?	D	White floral short kimono dress; wrapped waist and angled pose.
66	reject	?	?	?	U	Two equally prominent subjects.
67	reject	?	?	?	U	Two equally prominent subjects.
68	full	2	?	?	D	Purple sweatshirt mini dress with belt; waist cinched by garment.
69	reject	?	?	?	U	Two equally prominent subjects.
70	full	1.5	?	?	F	Pink ruffled blouse and fitted printed trousers; sleeves hide shoulders.
71	full	1.5	?	?	D	Oversized black graphic tee plaid mini and tights; torso hidden and raised arm.
72	full	1.5	?	?	C	White oversized tee wide denim trousers and boots; waist hidden.
73	full	1.5	?	?	X	Oversized patchwork tee asymmetric shorts and stockings; torso hidden.
74	full	1.5	?	?	C	Layered blue graphic top and wide trousers; covered torso.
75	full	1.5	?	1	D	Pink fitted top and navy flared skirt; raised arms and hidden hips.
76	reject	?	?	?	U	Three equally prominent subjects.
77	full	1.5	?	?	D	Black jacket white tee and tiered plaid skirt; covered contour.
78	reject	?	?	?	U	Two equally prominent subjects.
79	full	?	?	?	U	Oversized graphic tunic and wide trousers; build hidden.
80	full	1.5	?	?	D	Long black wrap dress; cinched garment waist and covered hips.
81	full	?	?	?	U	Oversized white jacket and wide trousers; build hidden.
82	full	1.5	?	?	M	Tan collared shirt and wide tailored trousers; tucked waist and umbrella pose.
83	full	1.5	?	?	D	Long blue belted dress over patterned sleeves; wrapped waist.
84	full	2	?	?	D	Graphic tee over blue sleeves and black mini; layered torso.
85	full	?	?	?	D	Pink robe and black tiered skirt; build hidden.
86	full	1.5	?	?	X	Long blue white robe with structured waist and black trousers; covered contour.
87	full	1.5	?	?	U	Multicolor tee and printed trousers; loose waist.
88	full	2	?	?	U	Oversized grey red hoodie; torso hidden.
89	full	1.5	?	?	U	Black draped sleeveless top and wide trousers; hidden waist.
90	full	1.5	?	?	M	Green suit white shirt and tie; tailoring covers body axes.
91	reject	?	?	?	U	Three equally prominent subjects.
92	full	2	?	?	D	White blouse scarf and tied striped midi; draped waist and wide stance.
