ordinal	view	build	shoulderHip	waist	presentation	evidence
0	detail	?	?	?	U	Product-only tee pack.
1	partial	2	?	?	U	Grey tee and jeans; loose hem and angled hips.
2	detail	?	?	?	U	Product-only tee pack.
3	reject	?	?	?	U	Repeated tee and jeans colorway; fuller view retained at 5.
4	detail	?	?	?	U	Product-only brown tee.
5	full	2	?	?	U	Brown tee and dark jeans; loose waist and turned torso.
6	detail	?	?	?	U	Product-only burgundy tee.
7	detail	?	?	?	U	Neckline and sleeve crop; crossed arm and no hips.
8	reject	?	?	?	U	Repeated cropped olive sweatshirt; fuller view at 9.
9	full	2	?	?	U	Olive sweatshirt and dark jeans; arms cover waist.
10	reject	?	?	?	U	Repeated cropped olive hoodie; fuller view at 11.
11	full	2	?	?	U	Olive hoodie and brown trousers; loose waist.
12	detail	?	?	?	U	Product-only tee pack.
13	partial	2	?	?	U	Black fitted tee and tan trousers; pulling hem distorts waist.
14	reject	?	?	?	U	Repeated cropped burgundy tee outfit; fuller view at 15.
15	full	2	?	?	U	Burgundy tee and black wide jeans; tucked waist and loose hips.
16	reject	?	?	?	U	Near-repeat burgundy tee outfit of 15 with neckline change.
17	reject	?	?	?	U	Near-repeat burgundy tee outfit of 15 with neckline change.
18	reject	?	?	?	U	Repeated tee outfit colorway of 15.
19	back	?	?	?	U	Rear view of pink tee.
20	reject	?	?	?	U	Repeated cropped teal tee; fuller view at 21.
21	full	2	?	?	U	Teal tee and dark wide jeans; tucked waist and loose hips.
22	reject	?	?	?	U	Repeated teal tee neckline variant of 21.
23	reject	?	?	?	U	Repeated teal tee neckline variant of 21.
24	detail	?	?	?	U	Pack packaging only.
25	detail	?	?	?	U	Product-only mystery tee pack.
26	detail	?	?	?	U	Product-only patterned button shirt.
27	full	2	?	?	C	White patterned short sleeve shirt and chinos; loose torso.
28	detail	?	?	?	U	Product-only shirt pack.
29	reject	?	?	?	U	Repeated shirt and chinos colorway of 27.
30	detail	?	?	?	U	Product-only navy shirt.
31	reject	?	?	?	U	Repeated shirt and chinos colorway of 27.
32	detail	?	?	?	U	Product-only tops pack.
33	reject	?	?	?	U	Repeated white fitted tee; less obstructed view at 35.
34	detail	?	?	?	U	Product-only white tee pack.
35	partial	1.5	?	1	U	White fitted tee and blue jeans; turned shoulders prevent width comparison.
36	detail	?	?	?	U	Product-only tee pack.
37	detail	?	?	?	U	Product-only tops pack.
38	reject	?	?	?	U	Repeated navy tee; fuller view at 39.
39	full	2	?	1	U	Navy fitted tee and wide dark jeans; tilted torso and loose hips.
40	detail	?	?	?	U	Product-only dresses pack.
41	reject	?	?	?	U	Repeated teal tank dress; front view at 42.
42	full	1.5	?	1	D	Teal fitted tank dress; angled hips and hand at waist.
43	detail	?	?	?	U	Trouser-only crop below chest.
44	detail	?	?	?	U	Trouser-only side crop.
45	partial	2.5	?	?	C	Black zip hoodie olive tee and jeans; layered torso.
46	detail	?	?	?	U	Hoodie shoulder detail only.
47	partial	2	?	?	C	White zip hoodie dark tee and jeans; covered waist.
48	back	?	?	?	U	Rear view of white hoodie.
49	partial	2.5	?	?	C	Dark overshirt olive tee and jeans; layered torso.
50	reject	?	?	?	U	Repeated side view of overshirt at 49.
51	partial	2	?	?	C	Tan overshirt olive tee and jeans; layered torso.
52	back	?	?	?	U	Rear view of tan overshirt.
53	reject	?	?	?	U	Repeated quarter zip crop; full view at 54.
54	full	2	?	?	C	Black quarter zip and pale chinos; raised hand and loose waist.
55	detail	?	?	?	U	Chino-only crop below waist.
56	detail	?	?	?	U	Chino side detail crop.
57	detail	?	?	?	U	Shorts crop below torso.
58	detail	?	?	?	U	Shorts side detail crop.
59	detail	?	?	?	U	Shorts crop with shoulders absent.
60	detail	?	?	?	U	Shorts side detail crop.
61	detail	?	?	?	U	Pale trouser crop below torso.
62	detail	?	?	?	U	Rear trouser detail crop.
63	detail	?	?	?	U	Pale trouser crop below torso.
64	detail	?	?	?	U	Pale trouser side detail.
65	detail	?	?	?	U	Navy trouser crop below torso.
66	detail	?	?	?	U	Navy trouser side detail.
67	detail	?	?	?	U	Dark trouser crop below torso.
68	detail	?	?	?	U	Rear dark trouser crop.
69	detail	?	?	?	U	Navy trouser crop below torso.
70	detail	?	?	?	U	Navy trouser side detail.
71	detail	?	?	?	U	Dark trouser crop below torso.
72	detail	?	?	?	U	Dark trouser side detail.
73	detail	?	?	?	U	Dark trouser crop below torso.
74	detail	?	?	?	U	Dark trouser side detail.
75	detail	?	?	?	U	Red shorts crop below torso.
76	detail	?	?	?	U	Red shorts side detail.
77	detail	?	?	?	U	Red shorts crop below torso.
78	detail	?	?	?	U	Red shorts side detail.
79	detail	?	?	?	U	Green shorts crop below torso.
80	detail	?	?	?	U	Green shorts side detail.
81	detail	?	?	?	U	Green shorts crop below torso.
82	detail	?	?	?	U	Green shorts side detail.
83	detail	?	?	?	U	Product-only tee pack.
84	detail	?	?	?	U	Product-only tee pack.
85	detail	?	?	?	U	Product-only tee pack.
86	detail	?	?	?	U	Product-only tee pack.
87	partial	2	?	?	U	Dark tee and jeans; loose hem hides waist.
88	partial	2.5	?	?	U	Pale tee and dark trousers; hands pull hem.
89	detail	?	?	?	U	Product-only tee pack.
90	partial	2	?	?	U	White tee and jeans; loose hem hides waist and hips cropped.
91	partial	3	?	?	C	Black short sleeve button shirt and trousers; loose torso and slight turn.
92	partial	3	?	?	C	Navy short sleeve button shirt and tan trousers; loose waist.
93	detail	?	?	?	U	Product-only long sleeve tee pack.
94	partial	2.5	?	?	U	Navy long sleeve tee and jeans; angled torso and hip crop.
95	detail	?	?	?	U	Product-only shorts pack.
96	detail	?	?	?	U	Grey shorts crop below torso.
97	detail	?	?	?	U	Product-only shorts pack.
