ordinal	view	build	shoulderHip	waist	evidence
0	full	3	?	?	Broad arms and torso visible in polar-bear pajamas; loose fabric hides shape.
1	reject	?	?	?	Seated raised-arm variant of admitted pajama outfit.
2	full	3	?	1	Broad arms and fitted lavender top show moderate waist; tulle skirt obscures hips.
3	detail	?	?	?	Tulle skirt product crop.
4	full	2	?	1	Fitted galaxy wrap bodice supports build and moderate waist; flared skirt and bag obscure hip contour.
5	full	2.5	?	?	Upper torso supports fuller-intermediate build; empire wrap and skirt hide natural waist and hips.
6	full	2.5	?	?	Visible torso and upper arms support build; belt and flared printed dress shape contours.
7	detail	?	?	?	Close belt and dress print detail.
8	partial	1.5	?	?	Narrow torso and arms; crossed arms and cropped hips prevent shape observation.
9	seated	2.5	?	?	Upper torso and arm support build; seated skirt distorts hips and waist.
10	back	?	?	?	Rear graphic shirt view.
11	back	?	?	?	Rear overhead seated shirt view.
12	reject	?	?	?	Multi-image promotional collage, not single outfit reference.
13	seated	2.5	?	?	Exposed legs and torso support build; structured plaid dress and seated pose obscure shape.
14	reject	?	?	?	Promotional collage of cropped garments.
15	full	1.5	?	?	Visible arms and legs support narrow-intermediate build; walking pose and loose pink layers hide shape.
16	reject	?	?	?	Multi-outfit promotional collage.
17	full	2.5	?	?	Visible arms and legs support build; open leopard dress held outward hides contours.
18	reject	?	?	?	Multi-outfit promotional collage.
19	full	3	?	?	Broad arms and legs visible; loose belted pink shirt hides natural torso shape.
20	reject	?	?	?	Promotional multi-image collage.
21	seated	2.5	?	?	Arms and upper torso support build; seated navy dress hides shape.
22	reject	?	?	?	Repeated multi-image promotional collage.
23	seated	2	?	?	Visible arms and legs support build; reclined seated posture prevents shape judgments.
24	reject	?	?	?	Multi-image product advertisement.
25	reject	?	?	?	Infographic and inset product advertisement.
26	reject	?	?	?	Multi-image lower-body product collage.
27	reject	?	?	?	Two-person cropped garment image; no single reference.
28	partial	2.5	?	?	Broad upper arms and torso; wrap construction, raised arm and gathering obscure shape.
29	full	1.5	?	?	Narrow exposed arms; loose cream wrap top and wide trousers hide shape.
30	full	2.5	?	?	Visible upper body supports build; scarf and flared plaid skirt obscure shape.
31	full	1.5	?	?	Narrow legs and upper torso; raised arms, jacket and flared plaid skirt obscure shape.
32	full	2.5	?	?	Visible arms and legs support build; puff sleeves and flared strawberry dress hide shape.
33	partial	2.5	?	?	Exposed forearms and torso support build; belt and puff sleeves shape contours.
34	full	2.5	?	?	Visible arms and legs support build; draped black top hides waist and upper hip contour.
35	seated	2.5	?	?	Exposed arms and thighs support build; seated pose and loose top obscure axes.
36	full	1.5	?	?	Narrow exposed arms; loose black top and trousers hide shape axes.
37	seated	?	?	?	Side reclined seated pose with loose layers prevents reliable build judgment.
38	full	2	?	?	Exposed arms and legs support intermediate build; loose pink shirt and raised leg obscure shape.
39	full	2.5	?	?	Exposed arms and legs support build; gathered pink top conceals waist and hips.
40	full	1.5	?	1	Fitted burgundy bodice shows moderate waist; flared skirt obscures hips.
41	full	2	?	?	Upper torso and forearm support build; raised arm and flared dress obscure shape.
42	full	2.5	?	1	Fitted patterned top shows moderate waist; long flared black skirt conceals hips.
43	full	1.5	?	1	Narrow fitted top has moderate waist indentation; long flared skirt hides hips.
44	detail	?	?	?	Lap and pajama fabric detail without upper body.
45	seated	2	?	?	Visible arms and torso support build; crossed legs and loose pajamas prevent shape judgment.
46	seated	2	?	?	Fitted black top and visible arms support build; seated pink trousers obscure shape.
47	reject	?	?	?	Near-identical seated outfit variant; retain 46.
48	full	2.5	?	?	Visible arms and fitted blue leggings support build; long draped black tee obscures waist and hip outline.
49	full	2.5	?	?	Arms and fitted navy leggings support build; loose long tee hides torso shape.
50	partial	1.5	?	?	Visible limbs and fitted skirt support build; side-on pose prevents frontal shape comparison.
51	reject	?	?	?	Near-identical side skirt outfit variant.
52	partial	2	?	?	Visible legs and torso support intermediate build; loose hoodie and raised arm obscure shape.
53	partial	2.5	?	?	Upper torso supports fuller-intermediate build; thick hoodie and angled pose conceal shape.
54	full	2.5	0	1	Fitted sheer black top and purple pencil skirt show similar shoulder/hip span and moderate waist indentation.
55	full	2.5	?	1	Fitted white top and purple skirt show waist indentation; crossed arms and torso rotation prevent confident shoulder balance.
56	full	2	?	?	Fitted leggings and visible limbs support intermediate build; loose hoodie hides waist and upper hips.
57	partial	2.5	?	?	Visible upper torso supports build; side pose and hoodie obscure shape.
58	full	2.5	?	?	Visible arms and upper torso support build; gathered floral dress hides natural waist and hips.
59	full	2.5	?	?	Visible upper arms support build; empire seam and gathered floral skirt hide waist and hip contour.
