ordinal	view	build	shoulderHip	waist	evidence
0	full	3	?	?	Fitted tee and leggings support broad build; open overshirt and bent leg obscure shape.
1	reject	?	?	?	Repeated purple leggings outfit with similar framing.
2	reject	?	?	?	Two subjects photographed from behind.
3	back	?	?	?	Rear printed tee view.
4	partial	2.5	?	?	Exposed arms and thigh support build; seated pose and gathered floral dress hide shape.
5	full	3	?	?	Visible legs and torso support broad build; angled pose and lifted layered skirt hide shape.
6	seated	3	?	?	Visible arms and thighs support broad build; seated pose hides standing proportions.
7	reject	?	?	?	Near-identical seated outfit already represented.
8	partial	1.5	?	?	Narrow exposed forearms support build; long loose tee hides waist and hips.
9	reject	?	?	?	Repeated black tee with similar framing.
10	partial	3	?	?	Visible arms and fitted leggings support broad build; loose white top hides torso shape.
11	reject	?	?	?	Repeated purple leggings and loose white top.
12	partial	2.5	?	1	Close yellow top and exposed arms show moderate taper; held flared skirt hides hips.
13	partial	3	?	?	Broad torso in fitted yellow top; crop omits outer shoulders and lower hips.
14	full	2	?	?	Visible legs and frame support build; cardigan and structured plaid dress conceal shape.
15	back	?	?	?	Rear plaid-skirt view.
16	full	2	?	?	Bare arms support build; bloused top and loose trousers hide waist and hip outline.
17	full	2.5	?	?	Visible arms and torso support build; wrapped blouse and loose trousers conceal shape.
18	reject	?	?	?	Three-person promotional image has no single reference subject.
19	full	3	?	?	Exposed arms and overall torso support broad build; wrapped top and loose trousers obscure natural shape.
20	full	2	?	?	Visible arms and legs support build; blouse and wrapped skirt conceal torso contours.
21	partial	3	?	?	Exposed arm and broad torso support build; held-out wrap skirt hides hip contour.
22	seated	2	?	?	Visible arms support build; seated pose and wrapped skirt obscure standing proportions.
23	full	1.5	?	?	Visible narrow legs and frame support build; loose blouse and flared skirt hide shape.
24	partial	2.5	?	?	Exposed forearms and fitted thighs support build; loose black blouse hides torso shape.
25	reject	?	?	?	Two-person outfit image lacks a single reference subject.
26	partial	2	?	?	Visible arms and thighs support build; loose white top hides waist and hips.
27	partial	2.5	?	?	Visible arms and fitted jeans support build; tucked loose tee and crop obscure shape.
28	full	2.5	?	?	Exposed arms and leg support build; raised arm and gathered dress hide proportions.
29	full	2.5	?	?	Exposed arms and legs support build; belted loose dress hides natural waist and hips.
30	full	2.5	?	?	Visible forearms and legs support build; gathered black dress conceals hips and waist.
31	reject	?	?	?	Tighter crop repeats black gathered dress with shoulders cut off.
32	full	3	?	?	Broad visible frame supports build; billowing sleeves and held skirt conceal shape.
33	reject	?	?	?	Side repeat of teal dress adds no clear frontal contour.
34	full	2.5	?	?	Visible overall frame supports build; loose long sleeves and gathered dress conceal shape.
35	full	2	?	?	Visible narrow lower legs and overall frame support build; held skirt and bloused sleeves obscure shape.
36	detail	?	?	?	Trouser-only crop omits shoulders and upper torso.
37	detail	?	?	?	Ankle cuff and shoe close-up.
38	full	2.5	?	?	Visible lower legs and torso support build; cardigan and loose dress conceal proportions.
39	seated	2	?	?	Visible torso supports approximate build; seated crop and cardigan hide shape.
40	full	2.5	?	1	Exposed arms and close upper bodice show moderate taper; gathered skirt conceals hips.
41	reject	?	?	?	Repeated black dress in tighter framing.
42	full	2.5	?	?	Visible forearms and legs support build; loose gingham dress conceals torso contours.
43	reject	?	?	?	Repeated gingham dress with crossed leg and held skirt.
44	full	2.5	?	?	Visible arms support build; loose tee and long gathered skirt hide shape.
45	reject	?	?	?	Side repeat of long gingham-skirt outfit.
46	partial	2.5	?	?	Bare arms support build; loose gathered gingham top hides torso shape.
47	partial	2.5	?	?	Exposed arms and thighs support build; turned pose and flared top obscure shape.
48	full	2.5	-1	?	Upper jeans and visible arms support build and broader hips; loose cropped tee conceals natural waist.
49	reject	?	?	?	Repeated embroidered-jeans outfit and pose.
50	reject	?	?	?	Dark-wash embroidered-jeans variant repeats tee and trouser silhouette.
51	reject	?	?	?	Second view of repetitive dark-wash embroidered-jeans outfit.
52	reject	?	?	?	Minor embroidery variant repeats light jeans and white tee.
53	reject	?	?	?	Second pose of repetitive embroidered-jeans variant.
54	full	2.5	?	?	Exposed arms support build; loose cropped tee and wide gingham trousers hide natural shape.
55	reject	?	?	?	Same gingham trouser outfit with similar framing.
56	partial	2.5	?	1	Bare arms and close black top show moderate waist taper; loose trousers conceal hips.
57	reject	?	?	?	Side repeat of black top and gingham trousers.
58	full	2.5	?	1	Close blue top and exposed limbs support build and moderate taper; angled hips and loose shorts obscure balance.
59	back	?	?	?	Rear three-quarter green-shorts outfit.
60	full	2.5	0	1	Close black dress and bare arms show similar shoulder and hip spans with moderate waist taper.
61	back	?	?	?	Rear three-quarter black-dress view.
62	full	2.5	?	1	Bare arms and close upper white dress show moderate taper; flared lower dress hides hip contour.
63	reject	?	?	?	Side repeat of white dress.
