ordinal	view	build	shoulderHip	waist	evidence
0	partial	2.5	?	?	Brown pinafore over fitted sleeves; visible arms support build, flared skirt conceals hips.
1	full	2.5	?	?	Standing pinafore outfit shows legs and torso; dress construction obscures shape.
2	full	2.5	?	1	White fitted top shows moderate torso taper; flared checked skirt hides hip contour.
3	reject	?	?	?	Side pose repeats checked-skirt outfit without clear frontal contours.
4	full	2.5	?	?	Long black pinafore with visible arms; loose long skirt hides lower torso.
5	reject	?	?	?	Closer repeat of long black pinafore already retained.
6	partial	2.5	?	?	Short black pinafore with hands on hips; visible arms support build, dress obscures shape.
7	full	2.5	?	?	Full short-pinafore outfit retained for footwear; flared skirt conceals hips.
8	full	2.5	?	?	Black dungarees with visible arms; roomy bib and trousers hide waist and hips.
9	reject	?	?	?	Side repeat of black dungarees with no additional contour evidence.
10	partial	2.5	?	?	Orange dungaree bib and bare arms; loose garment conceals waist and hips.
11	full	2.5	?	?	Side orange dungarees retained for complete outfit; frontal axes unavailable.
12	partial	2.5	?	1	Lavender fitted halter shows arms and moderate waist taper; gathered skirt hides hips.
13	reject	?	?	?	Near-identical halter crop with head turned; duplicate outfit evidence.
14	full	2.5	?	?	Angled checked dress shows limbs; pose and skirt prevent frontal shape judgment.
15	back	?	?	?	Rear checked-dress view excluded.
16	partial	2.5	?	?	Denim pinafore and visible upper arms support build; stiff bib hides waist.
17	detail	?	?	?	Embroidered bib close-up with no body outline.
18	full	2.5	?	?	Denim short overalls with visible limbs; bib and bent-leg stance obscure shape.
19	detail	?	?	?	Denim bib embroidery detail only.
20	full	3	?	?	Visible arms and broad torso support build; puff sleeves and held-out tiered skirt obscure shape.
21	reject	?	?	?	Raised-arm repeat of striped tiered dress.
22	partial	1.5	?	?	Narrow visible legs and torso support build; structured puff-sleeve jacket obscures natural shape.
23	partial	1.5	?	?	Black structured jacket and short skirt; slim legs visible, corseted waist not anatomical evidence.
24	partial	1.5	?	?	Exposed thigh and narrow torso support build; corset and bloused sleeves conceal shape.
25	detail	?	?	?	Product-only striped corset.
26	partial	1.5	?	?	Striped fitted jacket on narrow frame; puff shoulders and shaped bodice prevent shape labels.
27	partial	1.5	?	?	Striped jacket with shorts and visible slim legs; structured garment obscures shape.
28	partial	?	?	?	Bulky cardigan covers arms and torso; dark layers do not establish build.
29	reject	?	?	?	Second cardigan pose repeats retained outfit.
30	partial	2	?	?	Visible thighs support approximate build; loose gathered sweatshirt hides torso shape.
31	reject	?	?	?	Angled repeat of gathered sweatshirt outfit.
32	full	1.5	?	1	Bare arms and fitted tank show slim build and moderate taper; skirt hides hip contour.
33	reject	?	?	?	Near-repeat of tank and asymmetrical skirt.
34	full	?	?	?	Oversized faux-fur coat hides torso and arms; limited exposed legs insufficient for build.
35	partial	?	?	?	Bulky spotted coat covers upper body; shape and build remain unknown.
36	partial	1.5	0	1	Fitted black tank and trousers show similar shoulder and hip spans with moderate waist taper.
37	back	?	?	?	Rear tank-and-shorts view excluded.
38	partial	3	?	1	Sheer sleeves and fitted torso show broad build and moderate taper; ruffled shorts conceal hips.
39	reject	?	?	?	Second mesh-top pose repeats retained outfit.
40	full	2.5	?	?	Visible legs and fitted skirt support build; bulky yellow sweatshirt obscures shoulders and waist.
41	full	2.5	?	1	Enlarged reread: fitted top and skirt show moderate taper; asymmetric pose and cardigan obscure shoulder comparison.
42	partial	3	?	1	Fitted blue separates and exposed middle show broad build and moderate taper; high camera angle obscures balance.
43	full	3	0	1	Sleeveless fitted blue outfit shows broadly similar shoulder and hip width with moderate waist indentation.
44	reject	?	?	?	Two-person promotional image lacks a single body-reference subject.
45	reject	?	?	?	Group promotional scene excluded from single-outfit references.
46	back	?	?	?	Rear three-quarter skirt view excluded.
47	full	3	-1	1	Front blue pencil skirt and white top show wider hips than shoulders and moderate waist indentation.
48	partial	3	-1	1	Fitted purple skirt and tied blouse show hips wider than shoulders with moderate waist indentation.
49	back	?	?	?	Rear three-quarter purple-skirt pose excluded.
50	back	?	?	?	Rear crouched hoodie view excluded.
51	full	2	?	?	Lunging hoodie outfit shows legs; bent pose and loose top prevent frontal shape labels.
52	full	1.5	?	?	Visible arms and narrow outline support build; loose tee and draped trousers obscure shape.
53	partial	1.5	0	?	Narrow arms and fitted jeans show similar shoulder and hip spans; loose tee conceals waist.
54	full	2.5	?	1	Bare arms and fitted white top show build and moderate taper; flared skirt hides hip contour.
55	full	3	?	?	Bare legs and visible torso support broad build; elevated angled photo obscures frontal shape.
56	full	3	?	?	Visible arms and thigh support broad build; raised arms and side stance distort waist and shoulder span.
57	full	3	0	1	Front sleeveless black dress shows similar shoulder and hip widths with moderate waist taper.
58	back	?	?	?	Rear stair pose excluded.
59	detail	?	?	?	Lower-body trouser pocket detail; shoulders absent.
60	full	1.5	?	1	Slim arms and tucked polo show moderate taper; wrap skirt hides exact hip contour.
61	reject	?	?	?	Side repeat of polo and wrap skirt.
62	partial	?	?	?	Roomy cream sweatshirt conceals arms and torso; cropped lower body.
63	reject	?	?	?	Side repeat of roomy cream sweatshirt.
64	partial	1	0	?	Slim bare forearms and straight trousers show similar shoulder and hip widths; shirt conceals waist.
65	reject	?	?	?	Side repeat of plum polo.
66	partial	2.5	?	1	Visible arms and fitted black top support build and moderate taper; pocket pose distorts hip width.
67	reject	?	?	?	Side repeat of black polo with patterned trousers.
68	partial	?	?	?	Loose black sweatshirt covers torso and arms; build unsupported.
69	reject	?	?	?	Side repeat of black sweatshirt.
70	partial	?	?	?	Loose green sweatshirt hides body contours; hands in pockets distort hips.
71	reject	?	?	?	Side repeat of green sweatshirt.
72	partial	1.5	?	?	Visible narrow arms support build; untucked brown tee obscures waist and hip boundaries.
73	back	?	?	?	Rear brown-tee view excluded.
74	partial	1.5	?	?	Slim arms visible beside cream tee; relaxed top and pocket pose obscure shape.
75	reject	?	?	?	Side repeat of cream tee.
76	partial	2.5	?	?	Visible arms support build; baggy patterned tee and pocket pose obscure torso proportions.
77	reject	?	?	?	Side repeat of patterned tee.
78	partial	1.5	?	?	Narrow exposed arms support build; tied shirt and loose trousers obscure natural waist and hips.
79	reject	?	?	?	Side repeat of floral tied shirt.
80	partial	1.5	?	1	Fitted green tank shows slim arms and moderate taper; drawstring trousers conceal hip contour.
81	detail	?	?	?	Upper-tank close-up omits lower torso and outfit context.
82	seated	3	?	?	Visible arms and broad seated torso support build; stool pose obscures standing proportions.
83	partial	3	0	?	Enlarged reread: standing gray tee and jeans show similar shoulder and hip spans; shirt drape obscures waist indentation.
84	partial	1.5	?	?	Slim bare arms visible beside blue tee; pulled hem obscures waist and hips.
85	reject	?	?	?	Repeat of blue tee with hands in pockets.
86	seated	3	?	?	Broad exposed arms and torso support build; reclining folded-leg pose prevents shape labels.
87	partial	3	?	?	Broad arms and red tee support build; cropped roomy jeans leave hip extent unclear.
88	partial	1.5	?	?	Slim arms and exposed middle support build; open shirt and roomy trousers obscure shape.
89	full	1.5	?	?	Full printed-shirt outfit adds footwear context; loose trousers hide hips.
90	seated	2	?	?	Reclining fruit-print tank with visible arms; rotated torso prevents standing shape labels.
91	partial	2	1	1	Bare shoulders visibly wider than fitted trouser hips; tank shows moderate waist taper.
92	detail	?	?	?	Tank neckline and torso close-up cuts off shoulders and hips.
93	partial	3	?	1	Enlarged reread: fitted fruit tank shows broad build and moderate taper; roomy jeans and pocket flare obscure hip span.
94	seated	1.5	?	?	Visible narrow limbs support build; raised knee and loose shirt prevent shape labels.
95	partial	1.5	?	?	Slim arms visible with loose button-up; shirt hides waist and upper hips.
96	reject	?	?	?	Close repeat of fruit tee and shorts; fuller standing view retained.
97	full	1.5	0	1	Standing fitted crop tee and denim shorts show similar shoulders and hips with moderate waist taper.
98	detail	?	?	?	Product-only hanging raglan shirt.
99	partial	3	?	?	Broad exposed arms and torso support build; loose shirt and roomy shorts obscure shape.
100	partial	?	?	?	Cropped formal jacket portrait; tailoring hides build and lower torso is absent.
101	partial	3	?	?	Broad torso visible in white shirt; open structured jacket prevents shoulder comparison.
102	partial	1.5	?	?	Visible slim legs support build; tiered puff-sleeve dress conceals torso.
103	back	?	?	?	Rear blue tiered-dress view excluded.
104	full	3	?	?	Visible limbs and broad torso support build; voluminous pink dress hides shape.
105	back	?	?	?	Rear pink tiered-dress view excluded.
