ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat brown trousers without wearer.
1	full	2	?	?	Black collared knit polo, brown cropped trousers and boots; raised arm and bloused hem obscure independent contour axes.
2	detail	?	?	?	Flat navy trousers without wearer.
3	reject	?	?	?	Pale polo and navy trouser colorway repeats the collared-knit cropped-trouser ensemble retained at ordinal 1.
4	detail	?	?	?	Flat pale button shirt without wearer.
5	detail	?	?	?	Close-up of shirt textile and pocket.
6	detail	?	?	?	Flat black crewneck without wearer.
7	full	2	?	?	Black crewneck and gray straight trousers with boots; neutral basics, folded arms hide torso contours.
8	detail	?	?	?	Flat navy crewneck without wearer.
9	full	1.5	?	?	Navy textured knit and tan trousers with loafers; neutral ensemble, side-on stance prevents frontal contour assessment.
10	detail	?	?	?	Flat pale overshirt without wearer.
11	full	1.5	?	?	Pale chore layer over gray suit and striped tie with black shoes; masculine tailoring, layered jacket and angled stance obscure contour axes.
