ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated blue button-front shirt; no wearer.
1	detail	?	?	?	Blue shirt cuff and buttons closeup.
2	detail	?	?	?	Isolated white button-front shirt; no wearer.
3	detail	?	?	?	White shirt cuff closeup.
4	detail	?	?	?	Isolated black button-front shirt; no wearer.
5	detail	?	?	?	Black shirt cuff closeup.
6	detail	?	?	?	Isolated grey striped button-front shirt; no wearer.
7	detail	?	?	?	Grey striped shirt cuff closeup.
8	detail	?	?	?	Isolated light-blue button-front shirt; no wearer.
9	detail	?	?	?	Light-blue shirt cuff closeup.
10	detail	?	?	?	Isolated dark-blue button-front shirt; no wearer.
11	detail	?	?	?	Dark-blue shirt cuff closeup.
