ordinal	view	build	shoulderHip	waist	presentation	evidence
0	detail	?	?	?	U	Flat shirt; no wearer.
1	detail	?	?	?	U	Fabric sleeve detail.
2	detail	?	?	?	U	Flat shirt; no wearer.
3	detail	?	?	?	U	Pocket detail.
4	partial	2	?	?	U	White tee and red joggers; neck crop and loose hem obscure axes.
5	detail	?	?	?	U	Folded joggers.
6	partial	?	?	?	U	Grey jeans and boots; torso cropped.
7	reject	?	?	?	U	Repeated grey-jeans side pose.
8	detail	?	?	?	U	Flat shirt.
9	detail	?	?	?	U	Fabric closeup.
10	detail	?	?	?	U	Flat shirt.
11	detail	?	?	?	U	Collar closeup.
12	detail	?	?	?	U	Flat shirt assortment.
13	partial	2	0	1	U	Black henley and grey jeans; near-front torso and upper hips visible; recheck contours.
14	detail	?	?	?	U	Flat tee.
15	partial	1.5	?	1	U	Black tee and jeans; enlarged review retains waist but cropped hips prevent shoulder comparison.
16	detail	?	?	?	U	Flat tee assortment.
17	partial	2.5	?	1	U	Black v-neck tee and grey jeans; enlarged review finds tilted cropped hips insufficient for comparison.
18	detail	?	?	?	U	Flat tee.
19	partial	3	?	0	U	Black tee and jeans; enlarged review confirms little visible indentation but hip extent is cropped.
20	detail	?	?	?	U	Flat shorts.
21	detail	?	?	?	U	Denim detail.
22	detail	?	?	?	U	Flat shorts.
23	detail	?	?	?	U	Close seated shorts crop; full ensemble absent.
24	detail	?	?	?	U	Flat shorts.
25	detail	?	?	?	U	Flat shorts back.
26	reject	?	?	?	U	Jogger colorway repetition of casual tee ensemble.
27	detail	?	?	?	U	Folded joggers.
28	detail	?	?	?	U	Flat shorts.
29	detail	?	?	?	U	Flat shorts back.
30	partial	1.5	?	?	M	Burgundy suit with white tee; blazer conceals torso contour.
31	reject	?	?	?	M	Repeated burgundy suit pose.
32	partial	?	?	?	U	Green shirt and jeans crop; shoulders absent.
33	back	?	?	?	U	Rear jeans crop.
34	reject	?	?	?	U	Trouser crop of already selected suit styling.
35	back	?	?	?	U	Rear trouser crop.
36	reject	?	?	?	U	Repeated tee and trouser crop in another colorway.
37	back	?	?	?	U	Rear trouser crop.
38	reject	?	?	?	U	Repeated tee and trouser crop.
39	back	?	?	?	U	Rear trouser crop.
40	partial	?	?	?	C	Open blue shirt, tee and olive trousers; shoulders cut off.
41	back	?	?	?	U	Rear trouser view.
42	detail	?	?	?	U	Flat shirt.
43	detail	?	?	?	U	Flat shirt.
44	detail	?	?	?	U	Flat shirt.
45	detail	?	?	?	U	Flat shirt.
46	detail	?	?	?	U	Flat shirt.
47	detail	?	?	?	U	Flat shirt.
48	detail	?	?	?	U	Flat shirt.
49	detail	?	?	?	U	Flat shirt.
50	detail	?	?	?	U	Flat shirt.
51	detail	?	?	?	U	Shirt detail.
52	detail	?	?	?	U	Flat shirt.
53	detail	?	?	?	U	Flat shirt.
54	partial	2	?	?	C	Brown overshirt and cream trousers; layered torso.
55	detail	?	?	?	U	Flat overshirt.
56	detail	?	?	?	U	Close overshirt detail.
57	reject	?	?	?	C	Repeated overshirt outfit colorway.
58	detail	?	?	?	U	Flat robe.
59	full	2	?	?	U	Black robe and slippers; belt and raised arm obscure axes.
60	detail	?	?	?	U	Flat tee assortment.
61	full	2	?	1	U	Brown tee and jeans; angled hip view prevents width comparison.
62	detail	?	?	?	U	Flat tee assortment.
63	reject	?	?	?	U	Annotated promotional tee crop.
64	detail	?	?	?	U	Flat tees.
65	reject	?	?	?	U	Annotated promotional tee crop.
66	detail	?	?	?	U	Flat tees.
67	detail	?	?	?	U	Flat tees.
68	detail	?	?	?	U	Flat tees.
69	detail	?	?	?	U	Flat tees.
70	full	2	1	1	U	Blue fitted tee and slim grey trousers; front contours visible; recheck.
71	detail	?	?	?	U	Flat tees.
72	full	2	1	1	U	Dark fitted tee and slim jeans; front contours visible; recheck.
73	detail	?	?	?	U	Flat tees.
74	detail	?	?	?	U	Flat tees.
75	detail	?	?	?	U	Flat tees.
76	reject	?	?	?	U	Repeated tee-and-jeans colorway and pose.
77	detail	?	?	?	U	Flat tees.
78	detail	?	?	?	U	Flat long sleeve tops.
79	full	1.5	?	?	U	Navy long sleeve top and blue jeans; lean and draped hem obscure contours.
80	detail	?	?	?	U	Flat tops.
81	reject	?	?	?	U	Repeated long-sleeve and denim styling.
82	detail	?	?	?	U	Flat tops.
83	reject	?	?	?	U	Repeated long-sleeve outfit colorway.
84	detail	?	?	?	U	Flat tops.
85	detail	?	?	?	U	Flat tops.
86	reject	?	?	?	U	Repeated long-sleeve outfit colorway.
87	detail	?	?	?	U	Flat tops.
88	detail	?	?	?	U	Flat tops.
89	detail	?	?	?	U	Flat tops.
90	reject	?	?	?	U	Repeated long-sleeve outfit colorway.
91	partial	2	1	1	C	Blue button shirt with tan trousers; front torso visible; recheck.
92	back	?	?	?	U	Rear shirt view.
93	partial	2	1	1	U	Green fitted pocket tee and jeans; near-front contours; recheck.
94	back	?	?	?	U	Rear tee view.
95	reject	?	?	?	U	Similar dark pocket tee variant; fuller framing in 96.
96	reject	?	?	?	U	Repeated pocket-tee and jeans ensemble colorway.
97	partial	2.5	?	0	U	Blue tee and light denim; enlarged review retains straight torso but tilt and hip crop prevent comparison.
98	back	?	?	?	U	Rear tee view.
99	reject	?	?	?	U	Hoodie pose repeated by full ensemble in 100.
100	full	1.5	?	?	U	Matching teal hoodie and joggers; bulky layers hide axes.
101	detail	?	?	?	U	Flat tees.
102	full	3	1	0	U	Tan tee and jeans; broad front torso with little indentation; recheck.
103	detail	?	?	?	U	Flat tees.
104	detail	?	?	?	U	Annotated sleeve closeup.
105	detail	?	?	?	U	Flat polos.
106	full	2	1	1	C	Olive polo and light trousers; near-front fitted contour; recheck.
107	detail	?	?	?	U	Flat polos.
108	full	2	?	1	C	Dark polo with light trousers; angled hips prevent shoulder balance.
109	detail	?	?	?	U	Flat tees.
110	partial	2	?	?	U	Navy tee and pale trousers; angled torso and loose hem.
111	full	3	?	?	F	Ruffled black tank and striped wide trousers; draped hips.
112	detail	?	?	?	U	Pocket closeup.
113	full	3	?	?	D	Mesh-panel black dress with sheer sleeves; cut and pose hide axes.
114	reject	?	?	?	D	Repeated mesh dress close view.
115	partial	3	?	?	D	Printed open jacket over black dress; layered silhouette.
116	reject	?	?	?	D	Repeated jacket/dress pose.
117	full	3	?	?	D	Dark checked loose dress; loose hem obscures hips.
118	back	?	?	?	D	Rear dress view.
119	reject	?	?	?	D	Polka dot dress; clearer full version in 120.
120	full	3	?	?	D	Polka dot dress and sandals; shift contour not body contour.
121	partial	3	?	?	F	Sheer cropped jacket over tank and gathered trousers; hips concealed.
122	detail	?	?	?	U	Close fabric/jacket crop.
123	partial	3	?	?	U	Printed boxy top and gathered blue trousers; loose silhouette.
124	reject	?	?	?	U	Repeated top close pose.
125	reject	?	?	?	U	Same loose top/trouser styling in print variant.
126	reject	?	?	?	U	Repeated print variant pose.
127	partial	3	?	?	U	Daisy top and striped wide trousers; loose hem hides waist and hips.
128	reject	?	?	?	U	Repeated daisy top pose.
129	partial	3	?	?	F	Dotted sheer crop and floral skirt; raised arms and skirt conceal axes.
130	partial	2.5	?	?	U	Orange patterned top and patterned trousers; angled torso and crop.
131	reject	?	?	?	D	Two-person dress photo.
132	partial	3	?	?	D	Colorful geometric shift dress; loose body contour.
133	full	3	?	?	D	Green printed gathered dress; garment fullness obscures hips.
134	partial	3	?	?	D	Yellow gathered dress; raised arm and fullness obscure contours.
135	full	3	?	?	D	Black belted sheer overdress and leggings; belt and drape conceal axes.
136	reject	?	?	?	D	Repeated sheer black outfit.
137	full	3	?	?	F	Ruffled black tank and green wide trousers; gathered hips.
138	reject	?	?	?	F	Repeated green-trouser outfit.
139	full	3	?	?	D	Blue tie-dye dress and black tights; gathered skirt obscures hips.
140	reject	?	?	?	D	Repeated tie-dye dress close view.
141	full	3	?	?	D	Grey loose dress over tights; silhouette is garment-shaped.
142	reject	?	?	?	D	Repeated grey dress pose.
