ordinal	view	build	shoulderHip	waist	evidence	presentation
0	seated	2.5	?	?	Raglan zip top and trousers; seated pose conceals waist and hips.	U
1	back	?	?	?	Rear shirt view.	U
2	detail	?	?	?	Head and upper cardigan crop without outfit.	U
3	seated	2	?	?	Cardigan over collared shirt with blue trousers; seated pose conceals contour axes.	C
4	detail	?	?	?	Chest portrait lacks outfit framing.	U
5	detail	?	?	?	Neckline close-up.	U
6	partial	3	?	?	Quilted zip layer with black trousers; jacket bulk and angle obscure contour axes.	U
7	detail	?	?	?	Zipper fabric close-up.	U
8	seated	2	?	?	Velvet tee with dark trousers; leaning forward obscures contours.	U
9	seated	3	?	?	Velvet tee with trousers; seated forward pose obscures waist and hips.	U
10	partial	3	?	?	Navy tee and tan trousers; long loose hem prevents reliable waist and hip comparison.	U
11	back	?	?	?	Rear tee view.	U
12	partial	2.5	?	?	Navy tee with tan trousers; hem drapes across waist and upper hips.	U
13	reject	?	?	?	Near-repeat navy tee and tan trouser ensemble already retained in this batch.	U
14	partial	3	?	?	Black short-sleeve collared shirt with matching shorts; loose shirt conceals waist.	C
15	reject	?	?	?	Seated repeat of black shirt and shorts ensemble.	U
16	detail	?	?	?	Shorts-focused seated crop omits shoulders.	U
17	reject	?	?	?	Repeated black shirt and shorts ensemble with open shirt variation.	U
18	partial	3	?	?	Cream henley and dark trousers; arms and loose hem obscure waist and hips.	U
19	detail	?	?	?	Upper chest portrait without outfit.	U
20	partial	3	?	?	Navy polo with tan trousers; roomy torso hem conceals waist indentation.	C
21	detail	?	?	?	Polo neckline close-up.	U
22	detail	?	?	?	Trouser product crop lacks shoulders and torso.	U
23	back	?	?	?	Rear trouser crop.	U
24	detail	?	?	?	Trouser crop lacks upper torso.	U
25	back	?	?	?	Rear trouser crop.	U
26	detail	?	?	?	Shorts crop lacks shoulders.	U
27	back	?	?	?	Rear shorts crop.	U
28	partial	1.5	?	?	Cream quarter-zip knit over dark jeans; knit bulk and hip crop limit contours.	C
29	back	?	?	?	Rear knit view.	U
30	detail	?	?	?	Jeans crop omits shoulders.	U
31	back	?	?	?	Rear jeans crop.	U
32	detail	?	?	?	Shorts-focused crop without torso.	U
33	back	?	?	?	Rear shorts crop.	U
34	detail	?	?	?	Shorts-focused crop without torso.	U
35	back	?	?	?	Rear shorts crop.	U
36	partial	1.5	?	?	Olive tee and jeans; pocket pose pulls hem and crop limits hip comparison.	U
37	back	?	?	?	Rear tee view.	U
38	partial	2	?	?	Mauve tee and tan trousers; loose hem and upper-hip crop obscure contour axes.	U
39	back	?	?	?	Rear tee view.	U
40	reject	?	?	?	Repeated plain tee and trouser styling with a different neutral colorway.	U
41	back	?	?	?	Rear tee view.	U
42	partial	2	?	?	Green henley with tan trousers; straight fabric drape and hip crop limit contours.	U
43	back	?	?	?	Rear henley view.	U
44	partial	1.5	1	?	Striped polo and fitted gray jeans; shoulders visibly broader, but enlarged review shows the polo hanging away from the waist.	C
45	back	?	?	?	Rear polo view.	U
46	detail	?	?	?	Trouser-focused crop without shoulders.	U
47	full	2	1	1	White fitted shirt and tie with pale blue tailored trousers; broad shoulders and moderate waist taper.	M
48	partial	2	?	?	Brown tailored suit and white shirt; structured jacket and angle conceal underlying contours.	M
49	reject	?	?	?	Cropped repeat of pale blue suit retained in full view at 50.	U
50	full	2	?	?	Pale blue suit with white shirt and navy tie; structured jacket prevents body contour labels.	M
51	reject	?	?	?	Repeated pale blue suit pose.	U
52	partial	2.5	?	?	Striped fitted shirt with dark belted trousers; crossed arms obscure torso comparison.	M
53	reject	?	?	?	Repeated striped shirt cuff-adjusting crop.	U
54	partial	2.5	1	1	Fitted pale blue checked shirt and dark tailored trousers; broad shoulders and moderate waist taper.	M
55	reject	?	?	?	Repeated checked shirt cuff-adjusting crop.	U
56	partial	2.5	?	?	Black patterned shirt and black tailored trousers; crossed arms conceal waist contour.	M
57	reject	?	?	?	Repeated black shirt cuff-adjusting crop.	U
58	reject	?	?	?	Blue shirt and pale trousers styling repeats retained striped variation at 60.	U
59	reject	?	?	?	Repeated blue shirt cuff-adjusting crop.	U
