ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Burgundy wrap dress and tall boots repeat the wrap-dress ensemble in preceding Universal Standard comparison ordinal 83; color change adds no contour evidence.
1	reject	?	?	?	Alternate pose of wrap-dress ensemble at 0.
2	reject	?	?	?	Black color variation of existing wrap-dress ensemble; raised arm and leaning pose add no contour evidence.
3	reject	?	?	?	Alternate closer pose of wrap-dress ensemble at 2.
4	reject	?	?	?	Closer bent-arm crop of grey tee and black pleated-trouser outfit retained at 5.
5	partial	2	?	?	Grey boxy crew tee tucked into black pleated trousers with brown belt. Neutral styling; enlarged image supports mid build, but dropped shoulder seam, loose tuck and pockets obscure shoulder/hip and waist.
6	detail	?	?	?	Chest-up printed tee portrait; lower outfit absent.
7	reject	?	?	?	Printed tee and black-trouser variation of neutral tee/trouser ensemble at 5; no additional contour support.
8	reject	?	?	?	Printed blouse and wide trousers repeat prior Universal Standard comparison ordinal 81 with a different trouser color and closer pose; no contour gain.
9	back	?	?	?	Rear-facing printed blouse and grey wide-trouser outfit.
10	reject	?	?	?	Closer side-looking pose of burgundy blouse/trouser ensemble retained at 11.
11	partial	1.5	?	?	Gathered burgundy V-neck collared blouse and matching high pleated trousers; feminine soft blouse-led styling. Enlarged image supports lean build; pleats, pockets and loose gathered sleeves hide shoulder/hip and waist contours.
