ordinal	result
13	Retained 2/0/1; near-front henley contour visible.
15	Cleared shoulderHip; hips cropped before full breadth.
17	Cleared shoulderHip; tilt and partial hips.
19	Cleared shoulderHip; broad torso visible but full hips cropped.
70	Retained 2/1/1; fitted front tee and trousers.
72	Retained 2/1/1; front shoulders wider than upper hips.
91	Retained 2/1/1; front shirt contour and trouser hips visible.
93	Retained 2/1/1; fitted tee front view with visible upper hips.
97	Cleared shoulderHip; tilt and hip crop.
102	Retained 3/1/0; broad near-front torso with little visible indentation.
106	Retained 2/1/1; fitted polo and front trousers.
161	Cleared shoulderHip; weight shift tilts the contour.
163	Cleared shoulderHip; hair hides shoulder endpoints.
169	Retained 3/0/1; exposed torso contour and fitted shorts.
