ordinal	view	build	shoulderHip	waist	evidence
0	partial	1.5	?	?	Blue crewneck tucked into pleated pinstripe trousers; retained partial ensemble; crop and pleats conceal hip balance.
1	reject	?	?	?	Repeated blue tee and pinstripe trouser outfit with a changed tuck and pose.
2	reject	?	?	?	Repeated fitted crewneck and pleated trouser formula in black and grey; colorway variation.
3	reject	?	?	?	Side pose repeats ordinal 2 and the retained crewneck ensemble.
4	reject	?	?	?	Yellow and brown colorway of the same crewneck and pleated trouser formula.
5	reject	?	?	?	Repeated yellow tee ensemble in a closer angled crop.
6	reject	?	?	?	White crewneck and dark trouser variant repeats the retained outfit formula.
7	reject	?	?	?	White tee variant with lifted leg and shoulder prop; repetitive styling.
8	detail	?	?	?	Henley torso crop does not show a sufficient trouser ensemble or shoulder boundaries.
9	detail	?	?	?	Flat black henley product without a person.
10	reject	?	?	?	Yellow henley torso variation with prop repeats the sampled black henley framing.
11	detail	?	?	?	Flat yellow henley product without a person.
12	full	1.5	?	?	Sheer blue floral ruffled layer under black utility dungarees and heavy shoes; roomy overalls conceal waist and hips.
13	reject	?	?	?	Side pose repeats the sheer layer and dungarees at ordinal 12.
14	full	1.5	?	?	Dark boxy cropped long sleeve with straight magenta cords; loose torso and trousers conceal contours.
15	reject	?	?	?	Closer pose of the identical dark top and magenta cords at ordinal 14.
16	reject	?	?	?	Enlarged comparison shows a fitted blue crewneck and wide jeans variant already represented in prior Lucy and Yak sheets.
17	back	?	?	?	Rear view of the blue top and black jeans.
18	full	1.5	?	?	Black loose tee tucked into rounded blue jeans with dark shoes; relaxed fabric and stance conceal individual axes.
19	reject	?	?	?	Same black tee and jeans as ordinal 18 with hands in pockets.
20	detail	?	?	?	Shoulderless crop focused on balloon jeans; no full ensemble.
21	reject	?	?	?	Enlarged comparison repeats the striped cropped tee and rounded blue trouser combination in prior Lucy and Yak review.
22	full	2	?	?	Green fitted knit with floral tapered trousers and brown boots; angled torso and pocket hand obscure shoulder balance and waist.
23	detail	?	?	?	Close floral trouser waistband detail.
