ordinal	build	shoulderHip	waist	evidence
70	2	1	0	Fitted athletic top: broader shoulders, near-straight waist, upper hips visible above shorts.
206	1.5	?	1	Bandeau: waist indentation visible; hips cropped.
207	1.5	?	1	White fitted tee: waist indentation visible; lower hip width cropped.
217	1.5	?	1	Black cropped top: waist visible; hips cropped.
282	2	?	1	Fitted lace top: waist indentation visible; long full skirt conceals hips.
590	1.5	?	?	Loose black shirt and hands at hips prevent reliable contours.
598	2	?	1	Fitted referee top supports moderate indentation; hands and turned hips prevent balance judgment.
599	2	?	1	Corrected build to medium on enlargement; tilted hips and hands prevent balance judgment.
678	1.5	?	?	Loose denim shirt and bag conceal waist and one hip.
702	2	?	?	Corrected build to medium; angled torso and bent leg prevent reliable shape axes.
706	1.5	0	1	Fitted top and jeans show approximately balanced shoulders/hips and moderate waist; arms clear.
