ordinal	view	build	shoulderHip	waist	presentation	evidence
0	reject	?	?	?	U	Flat gray shorts product image without a person.
1	detail	?	?	?	U	Gray fabric texture close-up.
2	partial	2.5	?	?	C	Cream illustrated short-sleeve collared shirt with green shorts; loose hem hides waist and hips.
3	reject	?	?	?	C	Side angle repeats cream illustrated shirt outfit from ordinal 2.
4	partial	3	?	?	C	Pink striped short-sleeve collared shirt and pale shorts; broad visible torso, loose shirt conceals waist and hip axes.
5	reject	?	?	?	C	Side view repeats striped shirt outfit from ordinal 4.
6	partial	1.5	?	?	C	Turquoise utility shirt with floral shorts; shirt hangs clear of waist and hips.
7	back	?	?	?	C	Rear turquoise shirt and floral shorts view.
8	reject	?	?	?	U	Flat printed tee without a person.
9	detail	?	?	?	U	Tee print close-up.
10	reject	?	?	?	U	Flat blue athletic shorts without a person.
11	detail	?	?	?	U	Flat shorts with liner exposed.
12	partial	2	?	?	U	Mint tee and jeans; loose hem conceals waist, hips cropped.
13	reject	?	?	?	U	Side angle repeats mint tee and jeans from ordinal 12.
14	detail	?	?	?	U	Green hoodie chest crop; hips absent.
15	back	?	?	?	U	Rear green hoodie and shorts view.
16	reject	?	?	?	U	Flat tan trousers without a person.
17	detail	?	?	?	U	Tan trouser waistband close-up.
18	reject	?	?	?	U	Flat red athletic shorts without a person.
19	detail	?	?	?	U	Red fabric close-up.
20	partial	?	?	?	U	Pale quilted jacket over striped hoodie and green trousers; padded layers obscure build.
21	reject	?	?	?	U	Pale quilted jacket front view repeats outerwear at ordinal 20 without useful contour gain.
22	partial	2	?	?	U	Dark hoodie and cream trousers; thick loose torso and angled stance conceal proportions.
23	back	?	?	?	U	Rear dark hoodie view.
